data,preco_medio_revenda,cambio,close,barril_reais
2007-45,2.481,1.75455,91.58,160.681689
2007-46,2.4930000000000003,1.7754999999999999,94.61250000000001,167.98449375
2007-47,2.498,1.80662,91.18199999999999,164.73122483999998
2007-48,2.503,1.7905200000000001,89.39199999999998,160.05816383999996
2007-49,2.509,1.77118,91.144,161.43242992
2007-50,2.51,1.80382,91.32,164.72484239999997
2007-51,2.512,1.7764,93.83749999999999,166.69293499999998
2008-00,2.513,1.7613666666666665,97.48333333333333,171.70389388888887
2008-01,2.51,1.7608799999999998,93.60999999999999,164.83597679999994
2008-02,2.5069999999999997,1.7598200000000002,90.236,158.79911752
2008-03,2.502,1.80488,88.71,160.1109048
2008-04,2.497,1.76968,91.54799999999999,162.01066463999996
2008-05,2.497,1.7605000000000002,89.49000000000001,157.54714500000003
2008-06,2.49,1.75016,93.886,164.31552176
2008-07,2.485,1.7235599999999998,97.5575,168.1462047
2008-08,2.483,1.6835,99.286,167.14798100000002
2008-09,2.484,1.6753399999999998,100.926,169.08536483999998
2008-10,2.505,1.6923400000000002,105.8,179.049572
2008-11,2.496,1.7173,101.845,174.8984185
2008-12,2.488,1.73594,102.41000000000001,177.77761540000003
2008-13,2.498,1.7325399999999997,102.12,176.92698479999999
2008-14,2.495,1.6912799999999997,107.63,182.03246639999995
2008-15,2.488,1.67258,112.03399999999999,187.38582771999998
2008-16,2.494,1.6624999999999999,115.50399999999999,192.02539999999996
2008-17,2.49,1.6792,113.31800000000001,190.2835856
2008-18,2.49,1.67558,121.772,204.03872776000003
2008-19,2.496,1.6592399999999998,123.022,204.12302327999998
2008-20,2.495,1.650925,129.536,213.8542208
2008-21,2.494,1.6534200000000001,128.47750000000002,212.42726805000004
2008-22,2.4859999999999998,1.62774,127.98600000000002,208.32793164000003
2008-23,2.49,1.6362599999999996,134.058,219.35374307999993
2008-24,2.491,1.6114000000000002,134.346,216.48514440000002
2008-25,2.492,1.60304,137.368,220.20639871999998
2008-26,2.492,1.60244,142.71,228.68421240000004
2008-27,2.502,1.6059800000000002,140.28,225.28687440000002
2008-28,2.497,1.5924600000000002,136.76666666666665,217.795446
2008-29,2.494,1.57898,125.41666666666667,198.03040833333336
2008-30,2.492,1.56688,124.76199999999999,195.48708255999998
2008-31,2.499,1.58224,117.314,185.61890336
2008-32,2.498,1.6214600000000001,112.49599999999998,182.40776415999997
2008-33,2.501,1.62438,115.4225,187.49000055
2008-34,2.502,1.6285800000000001,114.62,186.66783960000004
2008-35,2.51,1.6810399999999999,106.69749999999999,179.36276539999997
2008-36,2.5069999999999997,1.77622,100.0825,177.76853814999998
2008-37,2.504,1.85424,94.248,174.75841152
2008-38,2.504,1.8293599999999999,103.94199999999998,190.14733711999995
