razao,endereco,bairro,cidade,endereço,longitude,latitude
POSTO PAULISTA LTDA,"RODOVIA BR 381, 3300 KM 0600",Inconfidentes,Contagem,"BR-381, 3300 - Inconfidentes, Contagem - MG, 32260-530, Brazil",-44.0437092,-19.9640055
POSTO OLEGARIO MACIEL LTDA,"AVENIDA CORONEL BENJAMIM GUIMARAES, 2288",Distrito Industrial,Contagem,"Av. Coronel Benjamim Guimarães, 2288 - Industrial, Contagem - MG, 32235-000, Brazil",-44.0269247,-19.9661522
POSTO DE COMBUSTIVEL VIA LTDA,"AVENIDA TEREZA CRISTINA, 2796",Jardim Industrial,Contagem,"Av. Tereza Cristina, 2796 - Jardim Industrial, Contagem - MG, 32215-150, Brazil",-44.0155175,-19.9703303
POSTO BALNEARIO LTDA,"AVENIDA ABILIO MACHADO, 4519",Vila Perola,Contagem,"Av. Abílio Machado, 4519 - Ressaca, Contagem - MG, 32110-010, Brazil",-44.0181737,-19.8865526
CENTRO AUTOMOTIVO DEL-REY LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 900",Ressaca,Contagem,"Av. Severino Ballesteros, 900 - LJ 05 - Ressaca, Contagem - MG, 32110-005, Brazil",-44.026799,-19.874308
POSTO SUPREMO LTDA,"AVENIDA PRINCESA IZABEL, 320",Parque Recreio,Contagem,"Av. Princesa Isabel, 320 - Parque Recreio, Contagem - MG, 32110-380, Brazil",-44.0209915,-19.8822554
POSTO DO BETO LTDA,"AVENIDA DAS AMERICAS, 894",Kenedy,Contagem,"Av. das Américas, 894 - Kennedy, Contagem - MG, 32145-000, Brazil",-44.045791,-19.886985
POSTO AGUA BRANCA DERIVADOS DE PETROLEO LTDA - ME,"RUA HIBISCO, 65",Chacara Boa Vista,Contagem,"R. Hibisco, 65 - Chácara Boa Vista, Contagem - MG, 32150-210, Brazil",-44.0549903,-19.8925817
POSTO LUIZA LTDA,"RODOVIA BR-040, 318 KM 522 E KM 318",Morada Nova,Contagem,"BR-040, 318 - Duarte Silveira, Petrópolis - RJ, 25725-630, Brazil",-43.22523899999999,-22.496607
POSTO LOURA EMPREENDIMENTOS LTDA,"AVENIDA JOAO SOARES, 1024",Parque Xangri La,Contagem,"Av. João Soares, 1024 - Xangri-La, Contagem - MG, Brazil",-44.0183812,-19.8427336
RODRIGUES SILVA DERIVADOS DE PETRÓLEO LTDA,"RUA SANTA MARIA, 43",Pedra Azul,Contagem,"R. Santa Maria, 43 - Pedra Azul, Contagem - MG, 32183-180, Brazil",-44.0395912,-19.8596341
POSTO FAISCA LTDA.,"AVENIDA JOAO SOARES, 564",Xangri-la,Contagem,"Av. João Soares, 564 - Xangri-La, Contagem - MG, 32186-000, Brazil",-44.0199078,-19.8390853
POSTO JC LTDA - EPP,"AV. PRINCESA ISABEL, 682",Parque Recreio,Contagem,"Av. Princesa Isabel, 682 - Parque Recreio, Contagem - MG, 32110-000, Brazil",-44.0193783,-19.8854587
CARVALHO ENGENHARIA LTDA,"AVENIDA CEMIG, 500",Nacional,Contagem,"Av. Cemig, 500 - Xangri-La, Contagem - MG, 32150-340, Brazil",-44.0211034,-19.848551
CARVALHO ENGENHARIA LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 1111",Fazenda do Confisco,Contagem,"Av. Severino Ballesteros, Contagem - MG, Brazil",-44.0379233,-19.887307
LB COMERCIO DE PETROLEO EIRELI,"RODOVIA BR-040, SN KM 08",Morada Nova,Contagem,"Rodovia BR 040 km 08 s/n - Morada Nova, Contagem - MG, 32145-480, Brazil",-44.0547941,-19.8731162
WJE COMBUSTIVEIS LTDA,"RODOVIA BR-040, S/N KM 526.7",Vila Paris,Contagem,"BR-040 - Vila Paris, Contagem - MG, Brazil",-44.023568,-19.921178
EMPREENDIMENTOS BRITO LIMA LTDA,"AVENIDA SEVERINO BALLESTEROS, 256",Guanabara,Contagem,"Av. Severino Ballesteros, 256 - Ressaca, Contagem - MG, 32110-005, Brazil",-44.0207567,-19.8734203
MERCANTIL LAGUNA LTDA,"AVENIDA FERNAO DIAS, 603",Jardim Laguna,Contagem,"Av. Fernão Dias, 603 - Jardim Laguna, Contagem - MG, 32140-310, Brazil",-44.0339768,-19.8944725
POSTO FELIPE LTDA,"RUA RODRIGUES DA CUNHA, 611",Balneário da Ressaca,Contagem,"R. Rodrigues da Cunha, 611 - Ressaca, Contagem - MG, 32113-340, Brazil",-44.0286367,-19.8841793
ALMADA & CIA LIMITADA,"RUA JACUI, 4040",Ipiranga,Belo Horizonte,"R. Jacuí, 4040 - Ipiranga, Belo Horizonte - MG, 31160-390, Brazil",-43.9295015,-19.8782271
POSTO FLORAMAR LTDA,"AVENIDA CRISTIANO MACHADO, 10130",Floramar,Belo Horizonte,"Av. Cristiano Machado, 10130 - Floramar, Belo Horizonte - MG, 31765-000, Brazil",-43.9387903,-19.837291
POSTO SALAZAR LTDA,"RUA MINISTROOLIVEIRA SALAZAR, 770",Santa Monica,Belo Horizonte,"R. Min. Oliveira Salazar, 770 - Santa Monica, Belo Horizonte - MG, 31525-000, Brazil",-43.9727656,-19.8211417
