razao,endereco,bairro,cidade,endereço,longitude,latitude
POSTO SILVA LOBO LTDA.,"AVENIDA AMAZONAS, 5353 A",Nova Suiça,Belo Horizonte,"Av. Amazonas, 5353 - Nova Suíça, Belo Horizonte - MG, 30431-025, Brazil",-43.9796719,-19.9302812
POSTO SERRANO LTDA,"AVENIDA ABILIO MACHADO, 3123",Serrano,Belo Horizonte,"Av. Abílio Machado, 3123 - Dom Bosco, Belo Horizonte - MG, 30830-093, Brazil",-44.0089204,-19.8942252
POSTO GAMELEIRA LTDA,"AVENIDA AMAZONAS, 7605",Nova Gameleira,Belo Horizonte,"Av. Amazonas, 7605 - Gameleira, Belo Horizonte - MG, 30510-000, Brazil",-43.997059,-19.93825
POSTO FORMULA BR LTDA,"AVENIDA AMAZONAS, 8.555",Cabana,Belo Horizonte,"Av. Amazonas - Cabana, Belo Horizonte - MG, Brazil",-44.0033897,-19.9425039
POSTO CAPITAL LTDA,"AVENIDA ABILIO MACHADO, 1772",Alipio de Mello,Belo Horizonte,"Av. Abílio Machado, 1772 - Dom Bosco, Belo Horizonte - MG, 30820-622, Brazil",-44.0036394,-19.9021453
POSTO ZEPPE MIRAGEM LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 638",Caicara,Belo Horizonte,"Av. Presidente Carlos Luz, 638 - Alto Caiçaras, Belo Horizonte - MG, 31230-010, Brazil",-43.9650898,-19.9038588
POSTO AMAZONAS LTDA,"AVENIDA AMAZONAS, 5298",Nova Suissa,Belo Horizonte,"Av. Amazonas, 5298 - Centro, Belo Horizonte - MG, 30180-001, Brazil",-43.979397,-19.929767
POSTO R.E.M. LTDA,"AVENIDA DO CONTORNO, 10040",Barro Preto,Belo Horizonte,"Av. do Contorno, 10040 - Santa Efigênia, Belo Horizonte - MG, 30110-017, Brazil",-43.9558408,-19.9186768
POSTO R.E.M. LTDA,"AVENIDA AMAZONAS, 4594",Nova Suissa,Belo Horizonte,"Av. Amazonas, 4594 - Nova Suíça, Belo Horizonte - MG, 30180-001, Brazil",-43.9750569,-19.9292042
COMBUSTIVEIS VALADARES LTDA,"AVENIDA PRESIDENTE CARLOS LUZ, 2600",Caparao,Belo Horizonte,"Avenida Presidente Carlos Luz - R. Caparaó, 2600 - Aparecida 7ª Seção, Belo Horizonte - MG, 31250-810, Brazil",-43.9666667,-19.8897222
DUTRA E SILVA LTDA,"AVENIDA DOS ENGENHEIROS, 465",Alipio de Melo,Belo Horizonte,"Av. dos Engenheiros, 465 - Alípio de Melo, Belo Horizonte - MG, 30840-300, Brazil",-43.9984393,-19.8919097
L. C. EMPREENDIMENTOS LTDA,"AVENIDA DIS ENGENHEIROS, 1620",Castelo,Belo Horizonte,"Av. dos Engenheiros, 1620 - Alípio de Melo, Belo Horizonte - MG, 30840-300, Brazil",-44.0059318,-19.8855336
AUTO POSTO TREVINHO LTDA,"AVENIDA JOSE CANDIDO DA SILVEIRA, 3252",Ana Lucia,Sabará,"Av. José Cândido da Silveira, 3252, Sabará - MG, 31930-010, Brazil",-43.9058048,-19.8759041
POSTO AVIEN LTDA,"RODOVIA BR-381, S/N KM 13",Borba Gato,Sabará,"Rodovia Br-262 - Vila Amelia Moreira, Sabará - MG, 34730-010, Brazil",-43.849148,-19.83465
POSTO SANTA INES MINAS LTDA,"AVENIDA CONTAGEM, 1980",Ana Lucia,Sabará,"Rua Contagem, 1980 - Santa Ines, Sabará - MG, 31080-365, Brazil",-43.908204,-19.8788589
POSTO DAS NACOES LTDA,"RODOVIA MG 5, KM 6",-,Sabará,"Rodovia MG 005 404 - Vila Bom Retiro, Sabará - MG, 31930-010, Brazil",-43.9013807,-19.8767211
POSTO ANA LUCIA LTDA,"AVENIDA CONTAGEM, 1354",Ana Lucia,Sabará,"Rua Contagem, 1354, Sabará - MG, 34710-010, Brazil",-43.90631870000001,-19.8845038
AUTO POSTO SABARA LTDA.,"RUA PREFEITO VITOR FANTINI, 719",Centro,Sabará,"Av. Pref. Vítor Fantini, 719 - Centro, Sabará - MG, 34525-360, Brazil",-43.8137275,-19.8936901
CATALAO COMERCIAL LTDA,"ROD. MG 030, 8625 SHOPPING SERENA MALL",Vale do Sereno,Nova Lima,"Rod. Januário Carneiro, 8625 - Vale do Sereno, Nova Lima - MG, 34000-000, Brazil",-43.9396,-19.987031
POSTO JAMBREIRO LTDA,"RODOVIA MG 30 KM 18,",Ouro Velho Mansoes,Nova Lima,"Rod. Januário Carneiro, 1709 - Res. Europa, Nova Lima - MG, 34004-703, Brazil",-43.8937791,-19.9988213
JACK COMBUSTIVEIS EIRELI,"RUA DOUTOR ANIBAL MORAES QUINTAO, 71",Centro,Nova Lima,"Rua Aníbal Morais de Quintão, 71 - Rosário, Nova Lima - MG, 34000-000, Brazil",-43.85322619999999,-19.9821703
PHILADELPHIA DERIVADOS DE PETROLEO LTDA,"PRACA DR. ERNANI RIB. SILVA, 22",Centro,Nova Lima,"R. Arisio da Silva, 22 - Padre Osvaldo B Pena, Nova Lima - MG, 34000-000, Brazil",-43.85302799999999,-20.0009341
POSTO CURVA DO RETIRO LTDA,"RODOVIA BR 040, 2000 KM 548 - LOTES 01 A 12",Jardim Canada,Nova Lima,"BR-040, 2000 - 01 - Santos Dumont, MG, 36240-000, Brazil",-43.556877,-21.4473309
GRAFER COMERCIAL LTDA,"RODOVIA BR 040, S/N KM 544 ZONA RURAL",São Sebastião de Águas Claras,Nova Lima,"Rodovia Br 040, S/N (Km 544 - Estr. São Sebastião das Águas Claras, S/N, Nova Lima - MG, 34000-000, Brazil",-43.9631216,-20.046444
PETROLIM LTDA,"PRACA EXPEDICIONARIO ASSUNCAO, 12",Centro,Nova Lima,"R. do Resende, 170 - Centro, Nova Lima - MG, 34000-000, Brazil",-43.84415629999999,-19.9853115
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,Betim,"Rod. Fernão Dias - Brasiléia, Betim - MG, Brazil",-44.20074890000001,-19.9805583
POSTO ANGOLA LTDA,"RUA DO ROSARIO, 1001",Angola,Betim,"R. do Rosário, 1001 - Angola, Betim - MG, 32630-000, Brazil",-44.20069429999999,-19.9569806
POSTO VILA LIBERDADE LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1381",Angola,Betim,"Av. Edmeia Matos Lazzarotti, 1381 - Angola, Betim - MG, 32600-044, Brazil",-44.2004114,-19.9635525
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Ingá,Betim,"Av. Artur da Silva Bernardes, 355 - Ingá, Betim - MG, 32630-050, Brazil",-44.1957332,-19.9536019
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Inga,Betim,"Av. Artur da Silva Bernardes, 355 - Ingá, Betim - MG, 32630-050, Brazil",-44.1957332,-19.9536019
REDE SANTANA COMBUSTIVEIS CONTAGEM LTDA,"AVENIDA FRANCISCO FIRMO MATTOS, 2020",Cidade Jd. Eldorado,Contagem,"Av. Francisco Firmo de Matos, 2020 - Eldorado, Contagem - MG, 32260-000, Brazil",-44.0391984,-19.9503359
PIO XII COMBUSTIVEIS LTDA,"AVENIDA PIO XII, 45",Agua Branca,Contagem,"Av. Pio XII, 45 - Água Branca, Contagem - MG, 32371-160, Brazil",-44.0330023,-19.9356434
EXPRESSA COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA JOAQUIM CAMARGOS, 195",Agua Branca,Contagem,"R. Joaquim Camargos, 195 - Água Branca, Contagem - MG, 32010-000, Brazil",-44.0341293,-19.9344196
BERNARDO MONTEIRO COMBUSTIVEIS LTDA,"RUA SANTA EDWIGES, 21",Santa Terezinha,Contagem,"R. Santa Edwiges, 21 - Santa Terezinha, Contagem - MG, 32010-040, Brazil",-44.0804344,-19.9300687
FARIA REVENDEDORA DE COMBUSTIVEIS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 4514",Bitacula e Perobas,Contagem,"Av. Helena de Vasconcelos Costa, 4514 - Campina Verde, Contagem - MG, 32015-640, Brazil",-44.0507712,-19.9054537
METRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,"VIA EXPRESSA, 223",Agua Branca,Contagem,"Via Expressa de Contagem, 223 - Água Branca, Contagem - MG, 32010-000, Brazil",-44.0345641,-19.934212
POSTO ALAMO LTDA,"VIA EXPRESSA DE CONTAGEM, 12.165",Petrolandia,Contagem,"Via Expressa de Contagem - Petrolândia, Contagem - MG, Brazil",-44.11371159999999,-19.9266964
NORTESUL POSTOS E SERVIÇOS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 1240",Fazendas das Perobas,Contagem,"Av. Helena de Vasconcelos Costa, 1240 - Cincao, Contagem - MG, 32371-685, Brazil",-44.0549514,-19.9159908
POSTO VILA PICA PAU LTDA,"VIA EXPRESSA DE CONTAGEM, 6900",Bernardo Monteiro,Contagem,"Via Expressa de Contagem, 6900 - Tropical, Contagem - MG, 32072-390, Brazil",-44.113844,-19.9266973
ITAPORE COMERCIO DE COMBUSTIVEIS LTDA.,"VIA EXPRESSA DE CONTAGEM, 1665",Agua Branca,Contagem,"Via Expressa de Contagem, 1665 - Eldorado, Contagem - MG, 32370-485, Brazil",-44.0397772,-19.9311728
POSTO TELEFÉRICO LTDA.,"AVENIDA TELEFERICO, 825",Conjunto Habitacional Vereador Jose Custodio,Contagem,"Av. Teleférico, 825 - Conj. Agua Branca, Contagem - MG, 32310-390, Brazil",-44.0276884,-19.9362268
POSTO PICA PAU LTDA,"AVENIDA HELENA VASCONCELO COSTA, 4447",Bitaculas Perobas,Contagem,"Av. Helena de Vasconcelos Costa, 4447 - Cincao, Contagem - MG, 32141, Brazil",-44.0489259,-19.9072562
POSTO ZEPPE GRAND PRIX LTDA,"VIA EXPRESSA, 3.100",Bitacula e Perobas,Contagem,"Via Expressa de Contagem, 3100 - Parque Sao Joao, Bitacula E Perobas - MG, 32371-190, Brazil",-44.0495867,-19.9211609
POSTO ZEPPE OASIS LTDA,"VIA EXPRESSA, 2600",Cinco/perobas,Contagem,"Via Expressa de Contagem, 2600 - Parque Sao Joao, Contagem - MG, 32370-485, Brazil",-44.0450713,-19.9238509
AUTO POSTO SANTOS RIOS S.R. LTDA - ME,"VIA EXPRESSA DE CONTAGEM, 2835",Perobas,Contagem,"Via Expressa de Contagem, 2835 - Parque Sao Joao, Contagem - MG, 32370-485, Brazil",-44.0466327,-19.9230736
NORTESUL POSTOS E SERVIÇOS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 1235",Fazenda das Perobas,Contagem,"Av. Helena de Vasconcelos Costa, 1235 - Cincao, Contagem - MG, 32371-685, Brazil",-44.0482451,-19.9075232
POSTO CRUZEIRO DO SUL LTDA,"RUA HUMBERTO DE MORO, 500",Inconfidentes,Contagem,"R. Humberto de Môro, 500 - Inconfidentes, Contagem - MG, 32260-005, Brazil",-44.0392871,-19.951285
MILLENIUM COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA,"RUA TOMAZ DE ANDRADE, 85",Distrito Industrial,Contagem,"Rua Tomás de Andrade, 85 - Riacho das Pedras, Contagem - MG, 32223-000, Brazil",-44.031156,-19.964296
POSTO PETROLINA EIRELI,"RODOVIA BR-381, S/N KM 0900",Inconfidentes,Contagem,"Rod. Fernão Dias - Inconfidentes, Contagem - MG, Brazil",-44.0396524,-19.9622985
POSTO BARREIRAO LTDA - EPP,"AVENIDA TEREZA CRISTINA, 2796",Jardim Industrial,Contagem,"Rodovida BR 040 km 688 S/N - Kennedy, Contagem - MG, 32145-900, Brazil",-44.04850829999999,-19.8945259
EMPREENDIMENTOS BRITO LIMA LTDA,"RODOVIA BR 040 KM 688, S/Nº CEASA",Guanabara,Contagem,"Av. Severino Ballesteros - Av. Severino Balsteros Rodrigues, 850 - Cabral, Contagem - MG, 32110-005, Brazil",-44.0381666,-19.8805712
EMPREENDIMENTOS BRITO LIMA LTDA,"AVENIDA SEVERINO BALLESTEIROS, 256 CEASA",Guanabara,Contagem,"Av. Olímpio García, 1100 - Eldorado, Contagem - MG, 32315-140, Brazil",-44.0395552,-19.9500968
POSTO NORTE SUL LTDA,"AVENIDA OLIMPIO GARCIA, 1100",Cid Jd Eldorado,Contagem,"Av. do Contorno, 1550 - Santa Efigênia, Belo Horizonte - MG, 30110-002, Brazil",-43.9289144,-19.9139117
POSTO ODEON LTDA,"AVENIDA DO CONTORNO, 1550",Floresta,Belo Horizonte,"Av. Barão Homem de Melo, 400 - Nova Granada, Belo Horizonte - MG, 30421-340, Brazil",-43.97284,-19.9376413
POSTO NIGHT AND DAY LTDA,"AVENIDA BARÃO HOMEM DE MELO, 400",Jardim América,Belo Horizonte,"Av. Brg. Eduardo Gomes, 1980 - Glória, Belo Horizonte - MG, 30870-100, Brazil",-44.0074783,-19.8992777
COMERCIAL RACOL LTDA,"AVENIDA BRIGADEIRO EDUARDO GOMES, 1980",Gloria,Belo Horizonte,"R. Des. Barcelos, 196 - Calafate, Belo Horizonte - MG, 30411-460, Brazil",-43.9725944,-19.9263903
POSTO SAO JOAO COMB E LUBR LTDA,"RUA DESEMBARGADOR BARCELOS, 196",Calafate,Belo Horizonte,"Beco MG-5 - Goiânia, Belo Horizonte - MG, 31930-010, Brazil",-43.90335260000001,-19.8755987
AUTO POSTO XANATAM LTDA,"RODOVIA RODOVIA MG 5, 765",Goiania,Belo Horizonte,"R. das Clarinetas, 23 - Conj. California, Belo Horizonte - MG, 30850-780, Brazil",-44.0064775,-19.9244
AUTO POSTO INHUMAS LTDA,"RUA DAS CLARINETAS, 23",Conjunto California,Belo Horizonte,"BR-040, 1000 - Califórnia, Belo Horizonte - MG, 30855-500, Brazil",-44.0270349,-19.9181557
PANORAMA COMERCIO DE COMBUSTIVEIS LTDA - ME,"RODOVIA BR 040, 1000 KM 1",Califórnia,Belo Horizonte,"R. Maj. Delfino de Paula, 2745 - São Francisco, Belo Horizonte - MG, 31255-170, Brazil",-43.9600116,-19.8819546
SAO FRANCISCO PARTICIPACOES TRANSPORTES E SERVICOS LTDA,"RUA MAJOR DELFINO DE PAULA, 2745",Sao Francisco,Belo Horizonte,"ROD ANEL - Anel Rodoviário Celso Mello Azevedo, 15600, Belo Horizonte - MG, 30750-585, Brazil",-43.9741855,-19.8916725
POSTO ABASTECA AQUI ANEL LTDA - EPP,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 15600",Caicaras,Belo Horizonte,"Av. Barão Homem de Melo, 827 - Nova Granada, Belo Horizonte - MG, 30431-327, Brazil",-43.97147,-19.94107
POSTO BARAO DE MELO LTDA,"AVENIDA BARAO HOMEM DE MELO, 827",Nova Granada,Belo Horizonte,"Av. Brasil, 401 - Santa Efigênia, Belo Horizonte - MG, 30140-000, Brazil",-43.9236839,-19.9254857
POSTO TIGRE LTDA,"AVENIDA BRASIL, 401",Funcionários,Belo Horizonte,"BR-262, Brazil",-43.9542559,-19.8806279
POSTO BALUARTE LTDA,"BR. 262 - KM 24,5, S/N KM 24,5",Maria Goreti,Belo Horizonte,"Anel Rodoviário Celso Mello Azevedo - Bernadete, Belo Horizonte - MG, Brazil",-43.981755,-19.9836563
AUTO POSTO MAQUINE LTDA,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 3605",Vila Bernadeti (barreiro),Belo Horizonte,"R. Des. Réis Alves, 880 - Indústrias I (Barreiro), Belo Horizonte - MG, 30610-270, Brazil",-43.9978788,-19.9657213
POSTO BATISTAO LIMITADA,"RUA DESEMBARGADOR REIS ALVES, 880",B. das Industrias,Belo Horizonte,"Anel Rodoviário Celso Mello Azevedo, 11333 - Dom Bosco, Belo Horizonte - MG, 30850-290, Brazil",-43.9997354,-19.9191404
POSTO BRUNA LTDA.,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 11333",Dom Bosco,Belo Horizonte,"R. Gonçalves Dias, 520 - Funcionários, Belo Horizonte - MG, 30140-090, Brazil",-43.9296686,-19.9328517
COMERCIO DE COMBUSTIVEIS ALEX LTDA,"RUA GONCALVES DIAS, 520",Funcionarios,Belo Horizonte,"BR-262 - Dom Silverio, Belo Horizonte - MG, Brazil",-43.90457749999999,-19.8576547
POSTO ASSIS LTDA,"RODOVIA BR 262, S/N KM 26",Dom Silverio,Belo Horizonte,"Av. Brasil, 909 - Funcionários, Belo Horizonte - MG, 30140-001, Brazil",-43.9278824,-19.9279377
POSTO ARAPONGA LTDA,"AVENIDA BRASIL, 909",Santa Efigenia,Belo Horizonte,"BR-262 - Engenho Nogueira, Belo Horizonte - MG, Brazil",-43.977647,-19.8927623
POSTO CARIJO LTDA,"RODOVIA BR 262, S/N KM 04",Engenho Nogueira,Belo Horizonte,"Rod. MG 5 - Ipê, Belo Horizonte - MG, 31950, Brazil",-43.9040276,-19.8682533
POSTO ESTEVES LTDA,"RODOVIA MG-5, 750 LETRA: A;",Ipe,Belo Horizonte,"Anel Rodoviário Celso Mello Azevedo, 23759 - Goiânia, Belo Horizonte - MG, 31980-115, Brazil",-43.900482,-19.8573306
AUTO POSTO VERONA EIRELI,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 23759",Dom Silverio,Belo Horizonte,"BR-262, Belo Horizonte - MG, Brazil",-43.9542559,-19.8806279
POSTO CURIANGO LTDA.,"RODOVIA BR 262, S/N KM 07",Gorduras,Belo Horizonte,"Rodovia Br 356, km 7,5, s/n - Olhos D'Água, Belo Horizonte - MG, 30390-003, Brazil",-43.9597912,-19.9948684
BARRABELA AUTO POSTO LTDA.,"RODOVIA BR 356, S/N KM 7,5",Olhos D'agua,Belo Horizonte,"Av. do Contorno, 1955 - Floresta, Belo Horizonte - MG, 30110-009, Brazil",-43.92702329999999,-19.9160935
POSTO TOCANTINS LTDA,"AVENIDA DO CONTORNO, 1955",Floresta,Belo Horizonte,"Av. Afonso Pena, 4321 - Mangabeiras, Belo Horizonte - MG, 30130-009, Brazil",-43.9203492,-19.9474319
POSTO MANGABEIRAS LTDA,"RUA AFONSO PENA, 4321",Mangabeiras,Belo Horizonte,"Av. Barão Homem de Melo, 3000 - Nova Granada, Belo Horizonte - MG, 30494-080, Brazil",-43.9647228,-19.961305
W. R. SIMONE COMERCIAL LTDA.,"AVENIDA BARÃO HOMEM DE MELO, 3000",Estoril,Belo Horizonte,"Av. Raja Gabáglia, 5001 - Cidade Jardim, Belo Horizonte - MG, 30380-103, Brazil",-43.94792959999999,-19.9717966
POSTO VICA LTDA,"AVENIDA RAJA GABAGLIA, 5001",Santa Lucia,Belo Horizonte,"R. Rio Grande do Norte, 1204 - Funcionários, Belo Horizonte - MG, 30130-131, Brazil",-43.93242000000001,-19.93616
POSTO AEL SAO JOSE LTDA,"RUA RIO GRANDE DO NORTE, 1204",Funcionarios,Belo Horizonte,"BR-356, 520, Cardoso Moreira - RJ, 28180-000, Brazil",-41.5376582,-21.5313183
POSTO SANTA LUCIA LTDA,"RODOVIA BR-356, 520",Sion,Belo Horizonte,"Av. Nossa Sra. do Carmo, 1925 - Carmo Sion, Belo Horizonte - MG, 30310-000, Brazil",-43.9401149,-19.9555199
POSTO HUGO WERNECK LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 1925",Carmo Sion,Belo Horizonte,"Av. Uruguai, 86 - Sion, Belo Horizonte - MG, 30310-300, Brazil",-43.934695,-19.9485136
POSTO MAURITANIA LTDA,"RUA DO URUGUAI, 86",Sion,Belo Horizonte,"R. Grão Mogol, 953 - Carmo, Belo Horizonte - MG, 30315-600, Brazil",-43.9341405,-19.9488886
MM - COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA GRAO MOGOL, 953-A",Sion,Belo Horizonte,"Av. Nossa Sra. do Carmo, 450 - São Pedro, Belo Horizonte - MG, 30360-740, Brazil",-43.9346927,-19.9439737
POSTO PONTE NOVA LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 450",Carmo,Belo Horizonte,"Rua Pium-Í, 260 - Cruzeiro, Belo Horizonte - MG, 30310-080, Brazil",-43.9298418,-19.9417495
POSTO OURO FINO LIMITADA,"RUA PIUM I, 260",Cruzeiro,Belo Horizonte,"Av. Uruguai, 835 - Sion, Belo Horizonte - MG, 30310-300, Brazil",-43.9309777,-19.9533966
POSTO CHICAGO LTDA.,"RUA DO URUGUAI, 835",Sion,Belo Horizonte,"Av. Nossa Sra. do Carmo, 756 - São Pedro, Belo Horizonte - MG, 30330-000, Brazil",-43.93538909999999,-19.9469228
POSTO GRAJAU LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 756",Sao Pedro,Belo Horizonte,"R. das Princesas, 367 - Vila Oeste, Belo Horizonte - MG, 30532-070, Brazil",-44.0072982,-19.9384485
BEL POSTO LTDA,"RUA DAS PRINCESAS, 367",Jardinopolis,Belo Horizonte,"BR-356, 04, 20 - Santa Lúcia, Belo Horizonte - MG, Brazil",-43.9637582,-19.9997883
POSTO PONTEIO LTDA.,"RODOVIA BR 356, 20 KM 04",Santa Lucia,Belo Horizonte,"Av. Bernardo Monteiro, 1339 - Funcionários, Belo Horizonte - MG, 30120-010, Brazil",-43.929113,-19.9303588
PETROBEL LTDA,"AVENIDA BERNARDO MONTEIRO, 1339",Funcionários,Belo Horizonte,"Rua Javari, 195 - Concórdia, Belo Horizonte - MG, 31030-045, Brazil",-43.9437254,-19.8979477
POSTO LONDRINA LTDA,"RUA JAVARI, 195",Sao Cristovao,Belo Horizonte,"Av. Silviano Brandão, 796 - Floresta, Belo Horizonte - MG, 31015-434, Brazil",-43.928861,-19.9081719
POSTO BAHAMA'S LTDA,"AVENIDA SILVIANO BRANDAO, 796",Floresta,Belo Horizonte,"R. Dep. Cláudio Pinheiro Lima, 957 - Glória, Belo Horizonte - MG, 30870-020, Brazil",-44.007295,-19.9039536
POSTO GLORIA,"RUA DEPUTADO CLAUDIO PINHEIRO DE LIMA, 957",Nossa Senhora da Gloria,Belo Horizonte,"R. Pará de Minas, 320 - Padre Eustáquio, Belo Horizonte - MG, 30730-440, Brazil",-43.9841709,-19.914662
POSTO DE COMBUSTIVEIS ZEUS LTDA,"RUA PARA DE MINAS, 320",Padre Eustaquio,Belo Horizonte,"R. Descalvado, 661 - Renascença, Belo Horizonte - MG, 31130-610, Brazil",-43.9421662,-19.8882824
POSTO JAVARI EIRELI,"RUA DESCALVADO, 661",Cachoeirinha,Belo Horizonte,"R. Pouso Alegre, 1075 - Floresta, Belo Horizonte - MG, 31015-215, Brazil",-43.9296221,-19.9120011
DIALA PETROLEO LTDA,"RUA POUSO ALEGRE, 1075",Floresta,Belo Horizonte,"R. Conselheiro Lafaiete, 1380 - Sagrada Família, Belo Horizonte - MG, 31035-560, Brazil",-43.92308,-19.9000958
POSTO SAGRADA FAMILIA EIRELI,"RUA CONSELHEIRO LAFAIETE, 1380",Sagrada Familia,Belo Horizonte,"Av. Santa Terezinha, 620 - Santa Terezinha, Belo Horizonte - MG, 31365-130, Brazil",-44.0013118,-19.870169
POSTO RC LTDA,"AVENIDA SANTA TEREZINHA, 620",Itatiaia,Belo Horizonte,"R. Jacuí, 1712 - Floresta, Belo Horizonte - MG, 31110-050, Brazil",-43.93415,-19.89801
POSTO MARTE LTDA,"RUA JACUI, 1712",Graca,Belo Horizonte,"R. Pará de Minas, 788 - Padre Eustáquio, Belo Horizonte - MG, 30730-440, Brazil",-43.98897729999999,-19.914019
CENCOSUD BRASIL COMERCIAL LTDA,"RUA PARA DE MINAS, 788 ANEXO: 01;",Padre Eustaquio,Belo Horizonte,"Av. Prof. Clóvis Salgado, 1865 - Bandeirantes (Pampulha), Belo Horizonte - MG, 31365-440, Brazil",-44.01205160000001,-19.8712341
POSTO ITATIAIA LTDA,"AVENIDA PROFESSOR CLOVIS SALGADO, 1865",Itatiaia,Belo Horizonte,"R. Padre Eustáquio, 2556 - Padre Eustáquio, Belo Horizonte - MG, 30720-100, Brazil",-43.9766902,-19.9148578
POSTO DOM BOSCO LTDA,"RUA PADRE EUSTÁQUIO, 2556 0",Padre Eustáquio,Belo Horizonte,"Av. Pres. Tancredo Neves, 2071 - Castelo, Belo Horizonte - MG, 31330-430, Brazil",-43.9934661,-19.8914465
POSTO MANACÁS LTDA,"AVENIDA PRESIDENTE TANCREDO NEVES, 1095 0",Castelo,Belo Horizonte,"R. Mato Grosso, 212 - Barro Preto, Belo Horizonte - MG, 30190-080, Brazil",-43.947486,-19.919864
ORGANIZAÇAO PETROMAR LTDA,"RUA MATO GROSSO, 212",Barro Preto,Belo Horizonte,"Rua dos Goitacazes, 1376 - Centro, Belo Horizonte - MG, 30190-051, Brazil",-43.9497354,-19.9202045
POSTO BARRO PRETO LTDA,"RUA GOITACASES, 1376",Barro Preto,Belo Horizonte,"Av. Waldyr Soeiro Emrich, 3441 - Santa Helena (Barreiro), Belo Horizonte - MG, 30644-000, Brazil",-44.0134481,-19.990582
POSTO VIA DO MINERIO LTDA,"AVENIDA WALDYR SOEIRO EMRICH, 3441",Santa Helena (barreiro),Belo Horizonte,"Rua Izabel Bueno, 139 - Jaraguá, Belo Horizonte - MG, 31270-030, Brazil",-43.9507193,-19.8679462
POSTO LUPUS ISABEL BUENO LTDA,"RUA IZABEL BUENO, 139",Indaia,Belo Horizonte,"Av. Silviano Brandão, 662 - Sagrada Família, Belo Horizonte - MG, 31030-525, Brazil",-43.9299122,-19.9073019
POSTO SAO SEBASTIAO LTDA - ME,"AVENIDA SILVIANO BRANDAO, 662",Floresta,Belo Horizonte,"Av. Professor Magalhães Penido, 540 - São Luiz, Belo Horizonte - MG, 31270-700, Brazil",-43.9596252,-19.8567429
POSTO AEROPORTO LTDA,"RUA PROFESSOR MAGALHAES PENIDO, 540",Sao Luiz (pampulha),Belo Horizonte,"Av. Silviano Brandão, 1785 - Sagrada Família, Belo Horizonte - MG, 31030-105, Brazil",-43.9211348,-19.9114439
ALABASTRO POSTOS E SERVIÇOS LTDA.,"AVENIDA SILVIANO BRANDÃO, 1785",Floresta,Belo Horizonte,"Av. Brg. Eduardo Gomes, 1025 - Glória, Belo Horizonte - MG, 30870-100, Brazil",-44.0042179,-19.9067459
POSTO ASTRAL LTDA,"AVENIDA BRIG EDUARDO GOMES, 1025",Gloria,Belo Horizonte,"Av. Saramenha, 1660 - Guarani, Belo Horizonte - MG, 31840-220, Brazil",-43.9176704,-19.8444726
VIF COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA SARAMENHA, 1660",Guarani,Belo Horizonte,"Av. Saramenha, 1062 - Guarani, Belo Horizonte - MG, 31840-050, Brazil",-43.9213408,-19.8416974
POSTO AGUIA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA SARAMENHA, 1062",Tupi,Belo Horizonte,"Av. Saramenha, 1500 - Guarani, Belo Horizonte - MG, 31840-220, Brazil",-43.9187795,-19.8433053
POSTO ALLGAS LTDA,"AVENIDA SARAMENHA, 1500",Tupi,Belo Horizonte,"R. Jacuí, 2300 - Renascença, Belo Horizonte - MG, 31140-650, Brazil",-43.9361343,-19.8934663
POSTO DANUBIO LTDA,"RUA JACUI, 2300",Renascenca,Belo Horizonte,"Av. Flávio dos Santos, 459 - Floresta, Belo Horizonte - MG, 31015-150, Brazil",-43.9252139,-19.9120502
POSTO DO PAPAI LTDA,"RUA FLAVIO DOS SANTOS, 459",Floresta,Belo Horizonte,"R. Jacuí, 3880 - Ipiranga, Belo Horizonte - MG, 31160-190, Brazil",-43.9311971,-19.8799839
ALMADA & CIA LIMITADA,"RUA JACUI, 3880",Ipiranga,Belo Horizonte,"Av. Amintas Jacques de Morais, 2065 - Glória, Belo Horizonte - MG, 30880-133, Brazil",-44.0170234,-19.9066562
