razao,endereco,bairro,bandeira,venda,compra,modalidade,fornecedor,data,combustivel,cidade,ix_semana
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.787,3519,CIF,-,30/12/2019,diesel,Betim,1072
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.687,-,-,-,06/01/2020,diesel,Betim,1073
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.695,-,-,-,06/01/2020,diesel,Betim,1073
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Ingá,ALESAT,3.697,-,-,-,06/01/2020,diesel,Betim,1073
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.747,-,-,-,06/01/2020,diesel,Betim,1073
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.747,3532,CIF,-,06/01/2020,diesel,Betim,1073
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.787,3519,CIF,-,06/01/2020,diesel,Betim,1073
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.687,-,-,-,15/01/2020,diesel,Betim,1074
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Ingá,ALESAT,3.697,-,-,-,15/01/2020,diesel,Betim,1074
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.697,-,-,-,15/01/2020,diesel,Betim,1074
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.747,3526,CIF,-,15/01/2020,diesel,Betim,1074
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.787,3520,CIF,-,15/01/2020,diesel,Betim,1074
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.795,-,-,-,15/01/2020,diesel,Betim,1074
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.687,-,-,-,22/01/2020,diesel,Betim,1075
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Ingá,ALESAT,3.697,-,-,-,22/01/2020,diesel,Betim,1075
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.74,-,-,-,22/01/2020,diesel,Betim,1075
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.747,3526,CIF,-,22/01/2020,diesel,Betim,1075
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.787,3520,CIF,-,22/01/2020,diesel,Betim,1075
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.795,-,-,-,22/01/2020,diesel,Betim,1075
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Inga,BRANCA,3.697,-,-,-,30/01/2020,diesel,Betim,1076
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.747,-,-,-,30/01/2020,diesel,Betim,1076
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.747,-,-,-,30/01/2020,diesel,Betim,1076
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.787,3420,CIF,-,30/01/2020,diesel,Betim,1076
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.787,-,-,-,30/01/2020,diesel,Betim,1076
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.795,-,-,-,30/01/2020,diesel,Betim,1076
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Inga,BRANCA,3.697,-,-,-,06/02/2020,diesel,Betim,1077
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.717,-,-,-,06/02/2020,diesel,Betim,1077
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.747,-,-,-,06/02/2020,diesel,Betim,1077
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.787,-,-,-,06/02/2020,diesel,Betim,1077
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.787,3420,CIF,-,06/02/2020,diesel,Betim,1077
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.795,-,-,-,06/02/2020,diesel,Betim,1077
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.575,-,-,-,10/02/2020,diesel,Betim,1078
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.677,-,-,-,10/02/2020,diesel,Betim,1078
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.677,3285,CIF,-,10/02/2020,diesel,Betim,1078
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.687,-,-,-,10/02/2020,diesel,Betim,1078
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Inga,BRANCA,3.697,-,-,-,10/02/2020,diesel,Betim,1078
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.727,-,-,-,10/02/2020,diesel,Betim,1078
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.575,-,-,-,17/02/2020,diesel,Betim,1079
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.577,3285,CIF,-,17/02/2020,diesel,Betim,1079
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.677,-,-,-,17/02/2020,diesel,Betim,1079
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.687,-,-,-,17/02/2020,diesel,Betim,1079
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.695,-,-,-,17/02/2020,diesel,Betim,1079
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Inga,BRANCA,3.697,-,-,-,17/02/2020,diesel,Betim,1079
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,IPIRANGA,3.509,-,-,-,24/02/2020,diesel,Betim,1080
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.545,-,-,-,24/02/2020,diesel,Betim,1080
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.545,3272,CIF,-,24/02/2020,diesel,Betim,1080
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.695,-,-,-,24/02/2020,diesel,Betim,1080
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.695,-,-,-,24/02/2020,diesel,Betim,1080
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Inga,BRANCA,3.697,-,-,-,24/02/2020,diesel,Betim,1080
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,IPIRANGA,3.509,-,-,-,02/03/2020,diesel,Betim,1081
POSTO D. PEDRO DE BETIM LTDA.,"RODOVIA BR 381, S/N KM 486",Brasiléia,IPIRANGA,3.545,3272,CIF,-,02/03/2020,diesel,Betim,1081
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.545,-,-,-,02/03/2020,diesel,Betim,1081
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.595,-,-,-,02/03/2020,diesel,Betim,1081
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.695,-,-,-,02/03/2020,diesel,Betim,1081
AUTO POSTO RODRIGO LTDA,"AVENIDA ARTHUR DA SILVA BERNARDES, 355",Inga,BRANCA,3.697,-,-,-,02/03/2020,diesel,Betim,1081
REDE SANTANA COMBUSTIVEIS CONTAGEM LTDA,"AVENIDA FRANCISCO FIRMO MATTOS, 2020",Cidade Jd. Eldorado,BRANCA,4.595,4265,CIF,ROYAL FIC,03/01/2020,gasolina,Contagem,1072
PIO XII COMBUSTIVEIS LTDA,"AVENIDA PIO XII, 45",Agua Branca,RAIZEN,4.69,-,-,-,03/01/2020,gasolina,Contagem,1072
EXPRESSA COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA JOAQUIM CAMARGOS, 195",Agua Branca,RAIZEN,4.69,4398,CIF,-,03/01/2020,gasolina,Contagem,1072
BERNARDO MONTEIRO COMBUSTIVEIS LTDA,"RUA SANTA EDWIGES, 21",Santa Terezinha,RAIZEN,4.69,-,-,-,03/01/2020,gasolina,Contagem,1072
FARIA REVENDEDORA DE COMBUSTIVEIS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 4514",Bitacula e Perobas,RAIZEN,4.695,-,-,-,03/01/2020,gasolina,Contagem,1072
METRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,"VIA EXPRESSA, 223",Agua Branca,RAIZEN,4.695,4385,CIF,-,03/01/2020,gasolina,Contagem,1072
POSTO ALAMO LTDA,"VIA EXPRESSA DE CONTAGEM, 12.165",Petrolandia,RAIZEN,4.695,4426,CIF,-,03/01/2020,gasolina,Contagem,1072
NORTESUL POSTOS E SERVIÇOS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 1240",Fazendas das Perobas,IPIRANGA,4.695,-,-,-,03/01/2020,gasolina,Contagem,1072
POSTO VILA PICA PAU LTDA,"VIA EXPRESSA DE CONTAGEM, 6900",Bernardo Monteiro,IPIRANGA,4.695,4326,CIF,-,03/01/2020,gasolina,Contagem,1072
ITAPORE COMERCIO DE COMBUSTIVEIS LTDA.,"VIA EXPRESSA DE CONTAGEM, 1665",Agua Branca,PETROBRAS DISTRIBUIDORA S.A.,4.695,-,-,-,03/01/2020,gasolina,Contagem,1072
POSTO TELEFÉRICO LTDA.,"AVENIDA TELEFERICO, 825",Conjunto Habitacional Vereador Jose Custodio,RAIZEN,4.695,-,-,-,03/01/2020,gasolina,Contagem,1072
POSTO PICA PAU LTDA,"AVENIDA HELENA VASCONCELO COSTA, 4447",Bitaculas Perobas,RAIZEN,4.695,4384,CIF,-,03/01/2020,gasolina,Contagem,1072
POSTO ZEPPE GRAND PRIX LTDA,"VIA EXPRESSA, 3.100",Bitacula e Perobas,IPIRANGA,4.695,4412,CIF,-,03/01/2020,gasolina,Contagem,1072
POSTO ZEPPE OASIS LTDA,"VIA EXPRESSA, 2600",Cinco/perobas,PETROBRAS DISTRIBUIDORA S.A.,4.695,4422,CIF,-,03/01/2020,gasolina,Contagem,1072
AUTO POSTO SANTOS RIOS S.R. LTDA - ME,"VIA EXPRESSA DE CONTAGEM, 2835",Perobas,IPIRANGA,4.695,4360,CIF,-,03/01/2020,gasolina,Contagem,1072
NORTESUL POSTOS E SERVIÇOS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 1235",Fazenda das Perobas,IPIRANGA,4.697,4390,CIF,-,03/01/2020,gasolina,Contagem,1072
POSTO CRUZEIRO DO SUL LTDA,"RUA HUMBERTO DE MORO, 500",Inconfidentes,PETROBRAS DISTRIBUIDORA S.A.,4.697,4375,CIF,-,03/01/2020,gasolina,Contagem,1072
POSTO NOVA CONTAGEM LTDA,"RUA TIRADENTES, 1941",Industrial Santa Rita,IPIRANGA,4.59,-,-,-,08/01/2020,gasolina,Contagem,1073
POSTO VILA GAROTO LTDA,"AVENIDA JUSCELINO KUBSTCHEK, 651",Industrial,IPIRANGA,4.595,-,-,-,08/01/2020,gasolina,Contagem,1073
POSTO TEREZA CRISTINA LTDA,"RUA HUM, 34",Jardim Emaus,RAIZEN,4.595,-,-,-,08/01/2020,gasolina,Contagem,1073
POSTO VILA MARIA DIAS LTDA,"AVENIDA BABITA CAMARGOS, 1330",Cidade Industrial,IPIRANGA,4.595,4374,CIF,-,08/01/2020,gasolina,Contagem,1073
MILLENIUM COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA,"RUA TOMAZ DE ANDRADE, 85",Distrito Industrial,IPIRANGA,4.595,3761,CIF,-,08/01/2020,gasolina,Contagem,1073
POSTO VIDAGO LTDA,"RUA TIRADENTES, 1530",Industrial,IPIRANGA,4.595,4374,CIF,-,08/01/2020,gasolina,Contagem,1073
POSTO PETROLINA EIRELI,"RODOVIA BR-381, S/N KM 0900",Inconfidentes,BRANCA,4.627,4307,CIF,POTENCIAL,08/01/2020,gasolina,Contagem,1073
GLAMA COMBUSTIVEIS & NEGOCIOS LTDA,"AVENIDA ALVARENGA PEIXOTO, 75",Inconfidentes,BRANCA,4.629,-,-,-,08/01/2020,gasolina,Contagem,1073
CCA COMERCIAL DE COMBUSTIVEIS AUTOMOTIVOS LTDA,"AVENIDA CORONEL JOVE SOARES NOGUEIRA, 300",Inconfidentes,PETROBRAS DISTRIBUIDORA S.A.,4.629,4376,CIF,-,08/01/2020,gasolina,Contagem,1073
POSTO BARREIRAO LTDA - EPP,"AVENIDA TEREZA CRISTINA, 2796",Jardim Industrial,IPIRANGA,4.647,4452,CIF,-,08/01/2020,gasolina,Contagem,1073
POSTO JARDIM INDUSTRIAL LTDA,"AVENIDA TITO FULGENCIO, 401",Jardim Industrial,BRANCA,4.657,4274,CIF,RIO BRANCO,08/01/2020,gasolina,Contagem,1073
POSTO TROVAO LTDA,"AVENIDA TITO FULGENCIO, 1189",Jardim Industrial,PETROBRAS DISTRIBUIDORA S.A.,4.657,4444,CIF,-,08/01/2020,gasolina,Contagem,1073
POSTO QUATRO RODAS LTDA,"AVENIDA TITO FULGENCIO, 950",Jardim Industrial,IPIRANGA,4.657,-,-,-,08/01/2020,gasolina,Contagem,1073
POSTO OKLAHOMA LTDA,"RUA TIRADENTES, 1904",Industrial Sta Rita,IPIRANGA,4.659,-,-,-,08/01/2020,gasolina,Contagem,1073
POSTO OLEGARIO MACIEL LTDA,"AVENIDA CORONEL BENJAMIM GUIMARAES, 2288",Distrito Industrial,PETROBRAS DISTRIBUIDORA S.A.,4.689,4412,CIF,-,08/01/2020,gasolina,Contagem,1073
POSTO PAULISTA LTDA,"RODOVIA BR 381, 3300 KM 0600",Inconfidentes,RAIZEN,4.696000000000001,-,-,-,08/01/2020,gasolina,Contagem,1073
WMS SUPERMERCADOS DO BRASIL LTDA.,"AVENIDA GENERAL DAVID SARNOFF, 5350 ANEXO: SUPERCENTER;",Cidade Industrial,RAIZEN,4.699,4541,CIF,-,08/01/2020,gasolina,Contagem,1073
LB COMERCIO DE PETROLEO EIRELI,"RODOVIA BR-040, SN KM 08",Morada Nova,BRANCA,4.598,-,-,-,16/01/2020,gasolina,Contagem,1074
POSTO DO BETO LTDA,"AVENIDA DAS AMERICAS, 894",Kenedy,BRANCA,4.599,-,-,-,16/01/2020,gasolina,Contagem,1074
POSTO LUIZA LTDA,"RODOVIA BR-040, 318 KM 522 E KM 318",Morada Nova,PETROBRAS DISTRIBUIDORA S.A.,4.627,-,-,-,16/01/2020,gasolina,Contagem,1074
POSTO JC LTDA - EPP,"AV. PRINCESA ISABEL, 682",Parque Recreio,IPIRANGA,4.638999999999999,4415,CIF,-,16/01/2020,gasolina,Contagem,1074
POSTO FAISCA LTDA.,"AVENIDA JOAO SOARES, 564",Xangri-la,RAIZEN,4.654,-,-,-,16/01/2020,gasolina,Contagem,1074
POSTO BALNEARIO LTDA,"AVENIDA ABILIO MACHADO, 4519",Vila Perola,IPIRANGA,4.655,4389,CIF,-,16/01/2020,gasolina,Contagem,1074
POSTO LOURA EMPREENDIMENTOS LTDA,"AVENIDA JOAO SOARES, 1024",Parque Xangri La,IPIRANGA,4.655,4381,CIF,-,16/01/2020,gasolina,Contagem,1074
POSTO SUPREMO LTDA,"AVENIDA PRINCESA IZABEL, 320",Parque Recreio,IPIRANGA,4.658,4389,CIF,-,16/01/2020,gasolina,Contagem,1074
POSTO AGUA BRANCA DERIVADOS DE PETROLEO LTDA - ME,"RUA HIBISCO, 65",Chacara Boa Vista,RAIZEN,4.659,4365,CIF,-,16/01/2020,gasolina,Contagem,1074
WJE COMBUSTIVEIS LTDA,"RODOVIA BR-040, S/N KM 526.7",Vila Paris,RAIZEN,4.695,-,-,-,16/01/2020,gasolina,Contagem,1074
CARVALHO ENGENHARIA LTDA,"AVENIDA CEMIG, 500",Nacional,IPIRANGA,4.699,-,-,-,16/01/2020,gasolina,Contagem,1074
RODRIGUES SILVA DERIVADOS DE PETRÓLEO LTDA,"RUA SANTA MARIA, 43",Pedra Azul,IPIRANGA,4.758,4374,CIF,-,16/01/2020,gasolina,Contagem,1074
CENTRO AUTOMOTIVO DEL-REY LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 900",Ressaca,BRANCA,4.798,-,-,-,16/01/2020,gasolina,Contagem,1074
EMPREENDIMENTOS BRITO LIMA LTDA,"RODOVIA BR 040 KM 688, S/Nº CEASA",Guanabara,PETROBRAS DISTRIBUIDORA S.A.,4.7989999999999995,4405,CIF,-,16/01/2020,gasolina,Contagem,1074
EMPREENDIMENTOS BRITO LIMA LTDA,"AVENIDA SEVERINO BALLESTEIROS, 256 CEASA",Guanabara,PETROBRAS DISTRIBUIDORA S.A.,4.7989999999999995,-,-,-,16/01/2020,gasolina,Contagem,1074
MERCANTIL LAGUNA LTDA,"AVENIDA FERNAO DIAS, 603",Jardim Laguna,PETROBRAS DISTRIBUIDORA S.A.,4.949,-,-,-,16/01/2020,gasolina,Contagem,1074
POSTO FELIPE LTDA,"RUA RODRIGUES DA CUNHA, 611",Balneário da Ressaca,PETROBRAS DISTRIBUIDORA S.A.,4.999,4430,CIF,-,16/01/2020,gasolina,Contagem,1074
PIO XII COMBUSTIVEIS LTDA,"AVENIDA PIO XII, 45",Agua Branca,RAIZEN,4.61,4368,CIF,-,22/01/2020,gasolina,Contagem,1075
BERNARDO MONTEIRO COMBUSTIVEIS LTDA,"RUA SANTA EDWIGES, 21",Santa Terezinha,RAIZEN,4.617,-,-,-,22/01/2020,gasolina,Contagem,1075
POSTO BALNEARIO LTDA,"AVENIDA ABILIO MACHADO, 4519",Vila Perola,IPIRANGA,4.655,-,-,-,22/01/2020,gasolina,Contagem,1075
POSTO ALAMO LTDA,"VIA EXPRESSA DE CONTAGEM, 12.165",Petrolandia,RAIZEN,4.69,-,-,-,22/01/2020,gasolina,Contagem,1075
EXPRESSA COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA JOAQUIM CAMARGOS, 195",Agua Branca,RAIZEN,4.69,-,-,-,22/01/2020,gasolina,Contagem,1075
POSTO ZEPPE GRAND PRIX LTDA,"VIA EXPRESSA, 3.100",Bitacula e Perobas,IPIRANGA,4.69,4397,CIF,-,22/01/2020,gasolina,Contagem,1075
POSTO TELEFÉRICO LTDA.,"AVENIDA TELEFERICO, 825",Conjunto Habitacional Vereador Jose Custodio,RAIZEN,4.69,-,-,-,22/01/2020,gasolina,Contagem,1075
FARIA REVENDEDORA DE COMBUSTIVEIS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 4514",Bitacula e Perobas,RAIZEN,4.69,-,-,-,22/01/2020,gasolina,Contagem,1075
POSTO ZEPPE OASIS LTDA,"VIA EXPRESSA, 2600",Cinco/perobas,PETROBRAS DISTRIBUIDORA S.A.,4.69,4405,CIF,-,22/01/2020,gasolina,Contagem,1075
AUTO POSTO SANTOS RIOS S.R. LTDA - ME,"VIA EXPRESSA DE CONTAGEM, 2835",Perobas,IPIRANGA,4.695,4453,CIF,-,22/01/2020,gasolina,Contagem,1075
NORTESUL POSTOS E SERVIÇOS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 1240",Fazendas das Perobas,IPIRANGA,4.695,-,-,-,22/01/2020,gasolina,Contagem,1075
METRO COMERCIO DE DERIVADOS DE PETROLEO LTDA,"VIA EXPRESSA, 223",Agua Branca,RAIZEN,4.695,-,-,-,22/01/2020,gasolina,Contagem,1075
NORTESUL POSTOS E SERVIÇOS LTDA,"AVENIDA HELENA DE VASCONCELOS COSTA, 1235",Fazenda das Perobas,IPIRANGA,4.695,-,-,-,22/01/2020,gasolina,Contagem,1075
POSTO PICA PAU LTDA,"AVENIDA HELENA VASCONCELO COSTA, 4447",Bitaculas Perobas,RAIZEN,4.695,4409,CIF,-,22/01/2020,gasolina,Contagem,1075
POSTO NORTE SUL LTDA,"AVENIDA OLIMPIO GARCIA, 1100",Cid Jd Eldorado,PETROBRAS DISTRIBUIDORA S.A.,4.697,-,-,-,22/01/2020,gasolina,Contagem,1075
POSTO VILA PICA PAU LTDA,"VIA EXPRESSA DE CONTAGEM, 6900",Bernardo Monteiro,IPIRANGA,4.72,4350,CIF,-,22/01/2020,gasolina,Contagem,1075
EMPREENDIMENTOS BRITO LIMA LTDA,"AVENIDA SEVERINO BALLESTEIROS, 256 CEASA",Guanabara,PETROBRAS DISTRIBUIDORA S.A.,4.849,-,-,-,22/01/2020,gasolina,Contagem,1075
POSTO QUATRO RODAS LTDA,"AVENIDA TITO FULGENCIO, 950",Jardim Industrial,IPIRANGA,4.563,4383,CIF,-,29/01/2020,gasolina,Contagem,1076
LB COMERCIO DE PETROLEO EIRELI,"RODOVIA BR-040, SN KM 08",Morada Nova,BRANCA,4.607,-,-,-,29/01/2020,gasolina,Contagem,1076
POSTO TEREZA CRISTINA LTDA,"RUA HUM, 34",Jardim Emaus,RAIZEN,4.657,-,-,-,29/01/2020,gasolina,Contagem,1076
POSTO TROVAO LTDA,"AVENIDA TITO FULGENCIO, 1189",Jardim Industrial,PETROBRAS DISTRIBUIDORA S.A.,4.657,4330,CIF,-,29/01/2020,gasolina,Contagem,1076
POSTO JARDIM INDUSTRIAL LTDA,"AVENIDA TITO FULGENCIO, 401",Jardim Industrial,BRANCA,4.657,-,-,-,29/01/2020,gasolina,Contagem,1076
POSTO BARREIRAO LTDA - EPP,"AVENIDA TEREZA CRISTINA, 2796",Jardim Industrial,IPIRANGA,4.657,-,-,-,29/01/2020,gasolina,Contagem,1076
POSTO VILA MARIA DIAS LTDA,"AVENIDA BABITA CAMARGOS, 1330",Cidade Industrial,IPIRANGA,4.659,4330,CIF,-,29/01/2020,gasolina,Contagem,1076
POSTO VIDAGO LTDA,"RUA TIRADENTES, 1530",Industrial,IPIRANGA,4.659,-,-,-,29/01/2020,gasolina,Contagem,1076
POSTO VILA GAROTO LTDA,"AVENIDA JUSCELINO KUBSTCHEK, 651",Industrial,IPIRANGA,4.659,-,-,-,29/01/2020,gasolina,Contagem,1076
MILLENIUM COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA,"RUA TOMAZ DE ANDRADE, 85",Distrito Industrial,IPIRANGA,4.66,4331,CIF,-,29/01/2020,gasolina,Contagem,1076
POSTO NOVA CONTAGEM LTDA,"RUA TIRADENTES, 1941",Industrial Santa Rita,IPIRANGA,4.66,-,-,-,29/01/2020,gasolina,Contagem,1076
POSTO OLEGARIO MACIEL LTDA,"AVENIDA CORONEL BENJAMIM GUIMARAES, 2288",Distrito Industrial,PETROBRAS DISTRIBUIDORA S.A.,4.66,-,-,-,29/01/2020,gasolina,Contagem,1076
CCA COMERCIAL DE COMBUSTIVEIS AUTOMOTIVOS LTDA,"AVENIDA CORONEL JOVE SOARES NOGUEIRA, 300",Inconfidentes,PETROBRAS DISTRIBUIDORA S.A.,4.675,4330,CIF,-,29/01/2020,gasolina,Contagem,1076
POSTO OKLAHOMA LTDA,"RUA TIRADENTES, 1904",Industrial Sta Rita,IPIRANGA,4.678999999999999,4443,CIF,-,29/01/2020,gasolina,Contagem,1076
GLAMA COMBUSTIVEIS & NEGOCIOS LTDA,"AVENIDA ALVARENGA PEIXOTO, 75",Inconfidentes,BRANCA,4.678999999999999,4267,CIF,ROYAL FIC,29/01/2020,gasolina,Contagem,1076
POSTO PAULISTA LTDA,"RODOVIA BR 381, 3300 KM 0600",Inconfidentes,RAIZEN,4.696000000000001,-,-,-,29/01/2020,gasolina,Contagem,1076
WMS SUPERMERCADOS DO BRASIL LTDA.,"AVENIDA GENERAL DAVID SARNOFF, 5350 ANEXO: SUPERCENTER;",Cidade Industrial,RAIZEN,4.699,4430,CIF,-,29/01/2020,gasolina,Contagem,1076
POSTO BALNEARIO LTDA,"AVENIDA ABILIO MACHADO, 4519",Vila Perola,IPIRANGA,4.565,4325,CIF,-,06/02/2020,gasolina,Contagem,1077
POSTO LUIZA LTDA,"RODOVIA BR-040, 318 KM 522 E KM 318",Morada Nova,PETROBRAS DISTRIBUIDORA S.A.,4.566,4276,CIF,-,06/02/2020,gasolina,Contagem,1077
CENTRO AUTOMOTIVO DEL-REY LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 900",Ressaca,BRANCA,4.567,-,-,-,06/02/2020,gasolina,Contagem,1077
POSTO SUPREMO LTDA,"AVENIDA PRINCESA IZABEL, 320",Parque Recreio,IPIRANGA,4.5680000000000005,-,-,-,06/02/2020,gasolina,Contagem,1077
POSTO AGUA BRANCA DERIVADOS DE PETROLEO LTDA - ME,"RUA HIBISCO, 65",Chacara Boa Vista,RAIZEN,4.574,-,-,-,06/02/2020,gasolina,Contagem,1077
