data_inicial,data_final,preco_medio_revenda,desvio_padrao_revenda,preco_minimo_revenda,preco_maximo_revenda,regiao,estado,abrangencia
2005-10-30,2005-11-05,2.476,0.155,2.05,3.3,,,nacional
2005-11-06,2005-11-12,2.481,0.158,1.87,3.3,,,nacional
2005-11-13,2005-11-19,2.481,0.165,2.069,3.3,,,nacional
2005-11-20,2005-11-26,2.475,0.166,2.079,3.3,,,nacional
2005-11-27,2005-12-03,2.475,0.164,2.069,3.3,,,nacional
2005-12-04,2005-12-10,2.476,0.165,2.06,3.3,,,nacional
2005-12-11,2005-12-17,2.485,0.161,2.089,3.3,,,nacional
2005-12-18,2005-12-24,2.486,0.162,2.04,3.3,,,nacional
2005-12-25,2005-12-31,2.486,0.16,2.089,3.3,,,nacional
2006-01-01,2006-01-07,2.496,0.16,2.089,3.3,,,nacional
2006-01-08,2006-01-14,2.516,0.157,2.09,3.3,,,nacional
2006-01-15,2006-01-21,2.513,0.158,2.13,3.3,,,nacional
2006-01-22,2006-01-28,2.514,0.162,2.13,3.3,,,nacional
2006-01-29,2006-02-04,2.513,0.161,2.07,3.5,,,nacional
2006-02-05,2006-02-11,2.522,0.161,2.099,3.3,,,nacional
2006-02-12,2006-02-18,2.523,0.159,2.09,3.3,,,nacional
2006-02-19,2006-02-25,2.524,0.16,2.09,3.3,,,nacional
2006-02-26,2006-03-04,2.551,0.153,2.12,3.3,,,nacional
2006-03-05,2006-03-11,2.602,0.148,2.18,3.5,,,nacional
2006-03-12,2006-03-18,2.6,0.15,2.19,3.3,,,nacional
2006-03-19,2006-03-25,2.589,0.154,2.179,3.3,,,nacional
2006-03-26,2006-04-01,2.58,0.156,2.24,3.3,,,nacional
2006-04-02,2006-04-08,2.585,0.161,2.19,3.3,,,nacional
2006-04-09,2006-04-15,2.598,0.158,2.19,3.3,,,nacional
2006-04-16,2006-04-22,2.599,0.158,2.155,3.3,,,nacional
2006-04-23,2006-04-29,2.601,0.153,2.17,3.3,,,nacional
2006-04-30,2006-05-06,2.596,0.153,2.17,3.3,,,nacional
2006-05-07,2006-05-13,2.59,0.155,1.87,3.3,,,nacional
2006-05-14,2006-05-20,2.583,0.158,2.17,3.3,,,nacional
2006-05-21,2006-05-27,2.574,0.161,2.17,3.3,,,nacional
2006-05-28,2006-06-03,2.56,0.167,2.17,3.3,,,nacional
2006-06-04,2006-06-10,2.55,0.171,2.16,3.3,,,nacional
2006-06-11,2006-06-17,2.544,0.173,2.14,3.3,,,nacional
2006-06-18,2006-06-24,2.538,0.174,2.16,3.3,,,nacional
2006-06-25,2006-07-01,2.546,0.17,2.17,3.3,,,nacional
2006-07-02,2006-07-08,2.551,0.168,2.16,3.5,,,nacional
2006-07-09,2006-07-15,2.554,0.166,2.14,3.5,,,nacional
2006-07-16,2006-07-22,2.553,0.166,2.15,3.3,,,nacional
2006-07-23,2006-07-29,2.57,0.16,2.15,3.5,,,nacional
2006-07-30,2006-08-05,2.566,0.159,2.129,3.3,,,nacional
2006-08-06,2006-08-12,2.559,0.163,2.09,3.3,,,nacional
2006-08-13,2006-08-19,2.554,0.168,2.089,3.3,,,nacional
2006-08-20,2006-08-26,2.559,0.17,2.089,3.3,,,nacional
2006-08-27,2006-09-02,2.56,0.166,2.09,3.3,,,nacional
2006-09-03,2006-09-09,2.559,0.165,2.099,3.3,,,nacional
2006-09-10,2006-09-16,2.554,0.165,2.099,3.3,,,nacional
2006-09-17,2006-09-23,2.557,0.165,2.099,3.3,,,nacional
2006-09-24,2006-09-30,2.546,0.168,2.099,3.3,,,nacional
2006-10-01,2006-10-07,2.548,0.167,2.149,3.3,,,nacional
2006-10-08,2006-10-14,2.55,0.164,2.159,3.3,,,nacional
2006-10-15,2006-10-21,2.55,0.162,2.15,3.3,,,nacional
2006-10-22,2006-10-28,2.548,0.164,2.159,3.5,,,nacional
2006-10-29,2006-11-04,2.543,0.164,2.15,3.3,,,nacional
2006-11-05,2006-11-11,2.534,0.167,2.15,3.3,,,nacional
2006-11-12,2006-11-18,2.546,0.162,2.15,3.3,,,nacional
2006-11-19,2006-11-25,2.542,0.166,2.149,3.3,,,nacional
2006-11-26,2006-12-02,2.529,0.169,2.13,3.3,,,nacional
2006-12-03,2006-12-09,2.534,0.167,2.13,3.3,,,nacional
2006-12-10,2006-12-16,2.531,0.166,2.13,3.3,,,nacional
2006-12-17,2006-12-23,2.527,0.166,2.129,3.3,,,nacional
2006-12-24,2006-12-30,2.532,0.163,2.12,3.3,,,nacional
2006-12-31,2007-01-06,2.531,0.166,2.12,3.3,,,nacional
2007-01-07,2007-01-13,2.531,0.164,2.12,3.3,,,nacional
2007-01-14,2007-01-20,2.528,0.165,2.08,3.3,,,nacional
2007-01-21,2007-01-27,2.52,0.166,2.109,3.3,,,nacional
2007-01-28,2007-02-03,2.507,0.17,2.119,3.3,,,nacional
2007-02-04,2007-02-10,2.508,0.173,2.039,3.3,,,nacional
2007-02-11,2007-02-17,2.521,0.166,1.96,3.3,,,nacional
2007-02-18,2007-02-24,2.524,0.163,2.149,3.3,,,nacional
2007-02-25,2007-03-03,2.513,0.165,2.129,3.3,,,nacional
2007-03-04,2007-03-10,2.513,0.165,2.088,3.3,,,nacional
2007-03-11,2007-03-17,2.521,0.159,2.149,3.3,,,nacional
2007-03-18,2007-03-24,2.524,0.161,2.129,3.3,,,nacional
2007-03-25,2007-03-31,2.517,0.162,2.14,3.3,,,nacional
2007-04-01,2007-04-07,2.518,0.159,2.119,3.3,,,nacional
2007-04-08,2007-04-14,2.528,0.155,2.119,3.3,,,nacional
2007-04-15,2007-04-21,2.538,0.152,2.14,3.3,,,nacional
2007-04-22,2007-04-28,2.546,0.15,2.15,3.31,,,nacional
2007-04-29,2007-05-05,2.544,0.152,2.14,3.3,,,nacional
2007-05-06,2007-05-12,2.544,0.153,2.15,3.3,,,nacional
2007-05-13,2007-05-19,2.541,0.155,2.129,3.3,,,nacional
2007-05-20,2007-05-26,2.535,0.158,2.07,3.3,,,nacional
2007-05-27,2007-06-02,2.535,0.155,2.08,3.3,,,nacional
2007-06-03,2007-06-09,2.536,0.153,2.119,3.3,,,nacional
2007-06-10,2007-06-16,2.531,0.154,2.15,3.3,,,nacional
2007-06-17,2007-06-23,2.524,0.157,2.109,3.3,,,nacional
2007-06-24,2007-06-30,2.517,0.162,2.079,3.3,,,nacional
2007-07-01,2007-07-07,2.516,0.162,2.109,3.3,,,nacional
2007-07-08,2007-07-14,2.513,0.158,2.14,3.3,,,nacional
2007-07-15,2007-07-21,2.507,0.158,2.14,3.3,,,nacional
2007-07-22,2007-07-28,2.5,0.16,2.14,3.3,,,nacional
2007-07-29,2007-08-04,2.49,0.161,2.09,3.3,,,nacional
2007-08-05,2007-08-11,2.49,0.159,2.14,3.3,,,nacional
2007-08-12,2007-08-18,2.488,0.164,2.07,3.3,,,nacional
2007-08-19,2007-08-25,2.487,0.165,2.07,3.3,,,nacional
2007-08-26,2007-09-01,2.477,0.169,2.07,3.3,,,nacional
2007-09-02,2007-09-08,2.476,0.17,2.07,3.3,,,nacional
2007-09-09,2007-09-15,2.471,0.17,2.07,3.3,,,nacional
2007-09-16,2007-09-22,2.469,0.171,2.07,3.3,,,nacional
2007-09-23,2007-09-29,2.468,0.171,2.0,3.3,,,nacional
2007-09-30,2007-10-06,2.477,0.168,2.099,3.3,,,nacional
2007-10-07,2007-10-13,2.473,0.167,2.07,3.3,,,nacional
2007-10-14,2007-10-20,2.47,0.169,2.099,3.3,,,nacional
2007-10-21,2007-10-27,2.48,0.165,2.099,3.3,,,nacional
2007-10-28,2007-11-03,2.476,0.166,2.129,3.3,,,nacional
2007-11-04,2007-11-10,2.475,0.167,2.099,3.3,,,nacional
2007-11-11,2007-11-17,2.481,0.163,2.129,3.3,,,nacional
2007-11-18,2007-11-24,2.493,0.158,2.099,3.3,,,nacional
2007-11-25,2007-12-01,2.498,0.158,2.099,3.33,,,nacional
2007-12-02,2007-12-08,2.503,0.157,2.099,3.3,,,nacional
2007-12-09,2007-12-15,2.509,0.157,2.15,3.3,,,nacional
2007-12-16,2007-12-22,2.51,0.158,2.159,3.3,,,nacional
2007-12-23,2007-12-29,2.512,0.159,2.099,3.3,,,nacional
2007-12-30,2008-01-05,2.513,0.157,2.099,3.3,,,nacional
2008-01-06,2008-01-12,2.51,0.158,2.099,3.3,,,nacional
2008-01-13,2008-01-19,2.507,0.16,2.099,3.3,,,nacional
2008-01-20,2008-01-26,2.502,0.16,2.09,3.3,,,nacional
2008-01-27,2008-02-02,2.497,0.162,2.099,3.3,,,nacional
2008-02-03,2008-02-09,2.497,0.164,2.079,3.3,,,nacional
2008-02-10,2008-02-16,2.49,0.168,2.08,3.3,,,nacional
2008-02-17,2008-02-23,2.485,0.171,2.039,3.3,,,nacional
2008-02-24,2008-03-01,2.483,0.172,2.019,3.3,,,nacional
2008-03-02,2008-03-08,2.484,0.167,2.059,3.3,,,nacional
2008-03-09,2008-03-15,2.505,0.162,2.059,3.35,,,nacional
