data_inicial,data_final,preco_medio_revenda,desvio_padrao_revenda,preco_minimo_revenda,preco_maximo_revenda,regiao,estado,abrangencia
2005-08-28,2005-09-03,2.367,0.064,2.12,2.515,SUL,SANTA CATARINA,estadual
2005-09-04,2005-09-10,2.257,0.075,2.06,2.359,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-09-04,2005-09-10,2.27,0.123,1.99,2.58,CENTRO OESTE,GOIAS,estadual
2005-09-04,2005-09-10,2.667,0.092,2.49,2.92,CENTRO OESTE,MATO GROSSO,estadual
2005-09-04,2005-09-10,2.475,0.046,2.37,2.599,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-09-04,2005-09-10,2.512,0.067,2.3,2.57,NORDESTE,ALAGOAS,estadual
2005-09-04,2005-09-10,2.268,0.137,2.1,2.699,NORDESTE,BAHIA,estadual
2005-09-04,2005-09-10,2.422,0.065,2.2,2.65,NORDESTE,CEARA,estadual
2005-09-04,2005-09-10,2.294,0.264,2.099,2.62,NORDESTE,MARANHAO,estadual
2005-09-04,2005-09-10,2.287,0.099,2.019,2.439,NORDESTE,PARAIBA,estadual
2005-09-04,2005-09-10,2.354,0.046,2.12,2.489,NORDESTE,PERNAMBUCO,estadual
2005-09-04,2005-09-10,2.4,0.0,2.4,2.4,NORDESTE,PIAUI,estadual
2005-09-04,2005-09-10,2.321,0.047,2.2,2.36,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-09-04,2005-09-10,2.25,0.057,2.149,2.38,NORDESTE,SERGIPE,estadual
2005-09-04,2005-09-10,2.537,0.128,2.52,3.2,NORTE,ACRE,estadual
2005-09-04,2005-09-10,2.405,0.118,2.35,2.75,NORTE,AMAPA,estadual
2005-09-04,2005-09-10,2.488,0.048,2.22,2.65,NORTE,AMAZONAS,estadual
2005-09-04,2005-09-10,2.36,0.149,2.27,2.9,NORTE,PARA,estadual
2005-09-04,2005-09-10,2.544,0.041,2.49,2.6,NORTE,RONDONIA,estadual
2005-09-04,2005-09-10,2.622,0.039,2.56,2.7,NORTE,RORAIMA,estadual
2005-09-04,2005-09-10,2.452,0.017,2.42,2.49,NORTE,TOCANTINS,estadual
2005-09-04,2005-09-10,2.284,0.043,2.22,2.399,SUDESTE,ESPIRITO SANTO,estadual
2005-09-04,2005-09-10,2.183,0.107,1.97,2.49,SUDESTE,MINAS GERAIS,estadual
2005-09-04,2005-09-10,2.267,0.108,1.999,2.599,SUDESTE,RIO DE JANEIRO,estadual
2005-09-04,2005-09-10,2.144,0.094,1.89,2.599,SUDESTE,SAO PAULO,estadual
2005-09-04,2005-09-10,2.233,0.084,2.06,2.698,SUL,PARANA,estadual
2005-09-04,2005-09-10,2.533,0.102,2.199,2.797,SUL,RIO GRANDE DO SUL,estadual
2005-09-04,2005-09-10,2.357,0.089,2.09,2.99,SUL,SANTA CATARINA,estadual
2005-09-11,2005-09-17,2.377,0.073,2.18,2.509,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-09-11,2005-09-17,2.393,0.126,2.154,2.699,CENTRO OESTE,GOIAS,estadual
2005-09-11,2005-09-17,2.871,0.077,2.48,3.12,CENTRO OESTE,MATO GROSSO,estadual
2005-09-11,2005-09-17,2.682,0.078,2.43,2.98,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-09-11,2005-09-17,2.608,0.102,2.319,2.85,NORDESTE,ALAGOAS,estadual
2005-09-11,2005-09-17,2.53,0.123,2.25,2.835,NORDESTE,BAHIA,estadual
2005-09-11,2005-09-17,2.558,0.12,2.2,2.89,NORDESTE,CEARA,estadual
2005-09-11,2005-09-17,2.378,0.107,2.088,2.7,NORDESTE,MARANHAO,estadual
2005-09-11,2005-09-17,2.45,0.128,2.19,2.75,NORDESTE,PARAIBA,estadual
2005-09-11,2005-09-17,2.454,0.099,2.25,2.6,NORDESTE,PERNAMBUCO,estadual
2005-09-11,2005-09-17,2.464,0.175,2.13,2.74,NORDESTE,PIAUI,estadual
2005-09-11,2005-09-17,2.547,0.072,2.2,2.62,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-09-11,2005-09-17,2.437,0.059,2.308,2.58,NORDESTE,SERGIPE,estadual
2005-09-11,2005-09-17,2.646,0.142,2.52,3.2,NORTE,ACRE,estadual
2005-09-11,2005-09-17,2.487,0.134,2.35,2.75,NORTE,AMAPA,estadual
2005-09-11,2005-09-17,2.703,0.087,2.4,2.9,NORTE,AMAZONAS,estadual
2005-09-11,2005-09-17,2.602,0.169,2.33,3.2,NORTE,PARA,estadual
2005-09-11,2005-09-17,2.624,0.112,2.39,2.805,NORTE,RONDONIA,estadual
2005-09-11,2005-09-17,2.624,0.095,2.6,2.92,NORTE,RORAIMA,estadual
2005-09-11,2005-09-17,2.607,0.073,2.43,2.74,NORTE,TOCANTINS,estadual
2005-09-11,2005-09-17,2.459,0.074,2.23,2.59,SUDESTE,ESPIRITO SANTO,estadual
2005-09-11,2005-09-17,2.347,0.122,1.99,2.65,SUDESTE,MINAS GERAIS,estadual
2005-09-11,2005-09-17,2.401,0.141,2.05,2.86,SUDESTE,RIO DE JANEIRO,estadual
2005-09-11,2005-09-17,2.339,0.102,2.0,2.799,SUDESTE,SAO PAULO,estadual
2005-09-11,2005-09-17,2.428,0.094,2.09,2.859,SUL,PARANA,estadual
2005-09-11,2005-09-17,2.783,0.094,2.41,2.999,SUL,RIO GRANDE DO SUL,estadual
2005-09-11,2005-09-17,2.499,0.086,2.209,2.799,SUL,SANTA CATARINA,estadual
2005-09-18,2005-09-24,2.413,0.051,2.28,2.48,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-09-18,2005-09-24,2.348,0.135,2.15,2.699,CENTRO OESTE,GOIAS,estadual
2005-09-18,2005-09-24,2.882,0.088,2.65,3.25,CENTRO OESTE,MATO GROSSO,estadual
2005-09-18,2005-09-24,2.67,0.057,2.39,2.83,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-09-18,2005-09-24,2.722,0.062,2.53,2.8,NORDESTE,ALAGOAS,estadual
2005-09-18,2005-09-24,2.527,0.12,2.33,2.834,NORDESTE,BAHIA,estadual
2005-09-18,2005-09-24,2.624,0.073,2.4,2.89,NORDESTE,CEARA,estadual
2005-09-18,2005-09-24,2.411,0.099,2.17,2.599,NORDESTE,MARANHAO,estadual
2005-09-18,2005-09-24,2.456,0.078,2.29,2.6,NORDESTE,PARAIBA,estadual
2005-09-18,2005-09-24,2.524,0.117,2.3,2.79,NORDESTE,PERNAMBUCO,estadual
2005-09-18,2005-09-24,2.601,0.093,2.07,2.74,NORDESTE,PIAUI,estadual
2005-09-18,2005-09-24,2.541,0.062,2.22,2.62,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-09-18,2005-09-24,2.42,0.057,2.28,2.6,NORDESTE,SERGIPE,estadual
2005-09-18,2005-09-24,2.759,0.182,2.69,3.5,NORTE,ACRE,estadual
2005-09-18,2005-09-24,2.532,0.167,2.4,2.95,NORTE,AMAPA,estadual
2005-09-18,2005-09-24,2.71,0.066,2.42,2.9,NORTE,AMAZONAS,estadual
2005-09-18,2005-09-24,2.619,0.174,2.33,3.6,NORTE,PARA,estadual
2005-09-18,2005-09-24,2.532,0.058,2.499,2.75,NORTE,RONDONIA,estadual
2005-09-18,2005-09-24,2.723,0.099,2.6,2.99,NORTE,RORAIMA,estadual
2005-09-18,2005-09-24,2.531,0.102,2.43,2.74,NORTE,TOCANTINS,estadual
2005-09-18,2005-09-24,2.476,0.046,2.35,2.599,SUDESTE,ESPIRITO SANTO,estadual
2005-09-18,2005-09-24,2.353,0.112,2.099,2.65,SUDESTE,MINAS GERAIS,estadual
2005-09-18,2005-09-24,2.403,0.127,2.15,2.86,SUDESTE,RIO DE JANEIRO,estadual
2005-09-18,2005-09-24,2.337,0.093,2.089,2.879,SUDESTE,SAO PAULO,estadual
2005-09-18,2005-09-24,2.417,0.086,1.999,2.899,SUL,PARANA,estadual
2005-09-18,2005-09-24,2.743,0.095,2.55,2.999,SUL,RIO GRANDE DO SUL,estadual
2005-09-18,2005-09-24,2.554,0.072,2.289,2.73,SUL,SANTA CATARINA,estadual
2005-09-25,2005-10-01,2.367,0.031,2.29,2.399,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-09-25,2005-10-01,2.3,0.157,2.05,2.62,CENTRO OESTE,GOIAS,estadual
2005-09-25,2005-10-01,2.867,0.103,2.622,3.34,CENTRO OESTE,MATO GROSSO,estadual
2005-09-25,2005-10-01,2.662,0.047,2.559,2.781,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-09-25,2005-10-01,2.72,0.059,2.55,2.78,NORDESTE,ALAGOAS,estadual
2005-09-25,2005-10-01,2.523,0.117,2.31,2.825,NORDESTE,BAHIA,estadual
2005-09-25,2005-10-01,2.62,0.068,2.4,2.89,NORDESTE,CEARA,estadual
2005-09-25,2005-10-01,2.544,0.08,2.4,2.58,NORDESTE,MARANHAO,estadual
2005-09-25,2005-10-01,2.448,0.08,2.099,2.6,NORDESTE,PARAIBA,estadual
2005-09-25,2005-10-01,2.424,0.15,2.24,2.79,NORDESTE,PERNAMBUCO,estadual
2005-09-25,2005-10-01,2.602,0.068,2.5,2.74,NORDESTE,PIAUI,estadual
2005-09-25,2005-10-01,2.536,0.054,2.34,2.62,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-09-25,2005-10-01,2.419,0.054,2.35,2.58,NORDESTE,SERGIPE,estadual
2005-09-25,2005-10-01,2.748,0.134,2.69,3.06,NORTE,ACRE,estadual
2005-09-25,2005-10-01,2.533,0.168,2.4,2.95,NORTE,AMAPA,estadual
2005-09-25,2005-10-01,2.717,0.042,2.6,2.88,NORTE,AMAZONAS,estadual
2005-09-25,2005-10-01,2.4,0.157,2.33,2.92,NORTE,PARA,estadual
2005-09-25,2005-10-01,2.593,0.069,2.46,2.69,NORTE,RONDONIA,estadual
2005-09-25,2005-10-01,2.721,0.034,2.7,2.8,NORTE,RORAIMA,estadual
2005-09-25,2005-10-01,2.608,0.051,2.479,2.699,NORTE,TOCANTINS,estadual
2005-09-25,2005-10-01,2.462,0.039,2.39,2.59,SUDESTE,ESPIRITO SANTO,estadual
2005-09-25,2005-10-01,2.341,0.114,2.12,2.65,SUDESTE,MINAS GERAIS,estadual
2005-09-25,2005-10-01,2.405,0.128,2.12,2.86,SUDESTE,RIO DE JANEIRO,estadual
2005-09-25,2005-10-01,2.348,0.094,2.05,2.65,SUDESTE,SAO PAULO,estadual
2005-09-25,2005-10-01,2.402,0.081,2.25,2.69,SUL,PARANA,estadual
2005-09-25,2005-10-01,2.704,0.11,2.339,2.999,SUL,RIO GRANDE DO SUL,estadual
2005-09-25,2005-10-01,2.514,0.089,2.29,2.69,SUL,SANTA CATARINA,estadual
2005-10-02,2005-10-08,2.339,0.05,2.269,2.499,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-10-02,2005-10-08,2.309,0.152,2.07,2.62,CENTRO OESTE,GOIAS,estadual
2005-10-02,2005-10-08,2.877,0.096,2.7,3.2,CENTRO OESTE,MATO GROSSO,estadual
2005-10-02,2005-10-08,2.695,0.061,2.59,2.89,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-10-02,2005-10-08,2.724,0.06,2.509,2.78,NORDESTE,ALAGOAS,estadual
2005-10-02,2005-10-08,2.509,0.125,2.2,2.83,NORDESTE,BAHIA,estadual
2005-10-02,2005-10-08,2.618,0.061,2.4,2.89,NORDESTE,CEARA,estadual
2005-10-02,2005-10-08,2.569,0.03,2.5,2.58,NORDESTE,MARANHAO,estadual
2005-10-02,2005-10-08,2.422,0.088,2.13,2.63,NORDESTE,PARAIBA,estadual
2005-10-02,2005-10-08,2.553,0.099,2.22,2.8,NORDESTE,PERNAMBUCO,estadual
2005-10-02,2005-10-08,2.604,0.063,2.5,2.79,NORDESTE,PIAUI,estadual
2005-10-02,2005-10-08,2.536,0.055,2.34,2.59,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-10-02,2005-10-08,2.458,0.052,2.379,2.59,NORDESTE,SERGIPE,estadual
2005-10-02,2005-10-08,2.747,0.134,2.69,3.06,NORTE,ACRE,estadual
2005-10-02,2005-10-08,2.712,0.061,2.38,2.9,NORTE,AMAZONAS,estadual
2005-10-02,2005-10-08,2.564,0.155,2.36,2.95,NORTE,PARA,estadual
2005-10-02,2005-10-08,2.659,0.122,2.5,2.99,NORTE,RONDONIA,estadual
2005-10-02,2005-10-08,2.72,0.032,2.68,2.8,NORTE,RORAIMA,estadual
2005-10-02,2005-10-08,2.613,0.05,2.49,2.69,NORTE,TOCANTINS,estadual
2005-10-02,2005-10-08,2.527,0.06,2.39,2.65,SUDESTE,ESPIRITO SANTO,estadual
2005-10-02,2005-10-08,2.376,0.11,2.127,2.69,SUDESTE,MINAS GERAIS,estadual
2005-10-02,2005-10-08,2.454,0.132,2.159,2.854,SUDESTE,RIO DE JANEIRO,estadual
2005-10-02,2005-10-08,2.349,0.091,2.059,2.699,SUDESTE,SAO PAULO,estadual
2005-10-02,2005-10-08,2.419,0.092,2.199,2.899,SUL,PARANA,estadual
2005-10-02,2005-10-08,2.692,0.122,2.33,2.999,SUL,RIO GRANDE DO SUL,estadual
2005-10-02,2005-10-08,2.537,0.071,2.29,2.691,SUL,SANTA CATARINA,estadual
2005-10-09,2005-10-15,2.474,0.033,2.37,2.569,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-10-09,2005-10-15,2.374,0.134,2.198,2.78,CENTRO OESTE,GOIAS,estadual
2005-10-09,2005-10-15,2.884,0.087,2.73,3.34,CENTRO OESTE,MATO GROSSO,estadual
2005-10-09,2005-10-15,2.712,0.049,2.598,2.85,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-10-09,2005-10-15,2.724,0.052,2.509,2.78,NORDESTE,ALAGOAS,estadual
2005-10-09,2005-10-15,2.509,0.115,2.2,2.835,NORDESTE,BAHIA,estadual
2005-10-09,2005-10-15,2.614,0.059,2.4,2.89,NORDESTE,CEARA,estadual
2005-10-09,2005-10-15,2.529,0.05,2.34,2.66,NORDESTE,MARANHAO,estadual
2005-10-09,2005-10-15,2.366,0.094,2.13,2.499,NORDESTE,PARAIBA,estadual
2005-10-09,2005-10-15,2.435,0.158,2.09,2.99,NORDESTE,PERNAMBUCO,estadual
2005-10-09,2005-10-15,2.588,0.064,2.5,2.752,NORDESTE,PIAUI,estadual
2005-10-09,2005-10-15,2.532,0.051,2.34,2.59,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-10-09,2005-10-15,2.457,0.049,2.28,2.58,NORDESTE,SERGIPE,estadual
2005-10-09,2005-10-15,2.754,0.186,2.69,3.3,NORTE,ACRE,estadual
2005-10-09,2005-10-15,2.478,0.031,2.44,2.59,NORTE,AMAPA,estadual
2005-10-09,2005-10-15,2.724,0.06,2.57,2.9,NORTE,AMAZONAS,estadual
2005-10-09,2005-10-15,2.544,0.106,2.36,2.75,NORTE,PARA,estadual
2005-10-09,2005-10-15,2.674,0.137,2.5,3.1,NORTE,RONDONIA,estadual
2005-10-09,2005-10-15,2.745,0.023,2.7,2.8,NORTE,RORAIMA,estadual
2005-10-09,2005-10-15,2.624,0.042,2.499,2.69,NORTE,TOCANTINS,estadual
2005-10-09,2005-10-15,2.544,0.035,2.43,2.63,SUDESTE,ESPIRITO SANTO,estadual
2005-10-09,2005-10-15,2.387,0.13,2.149,3.37,SUDESTE,MINAS GERAIS,estadual
2005-10-09,2005-10-15,2.483,0.123,2.159,2.96,SUDESTE,RIO DE JANEIRO,estadual
2005-10-09,2005-10-15,2.364,0.09,2.09,2.63,SUDESTE,SAO PAULO,estadual
2005-10-09,2005-10-15,2.398,0.094,2.18,2.72,SUL,PARANA,estadual
2005-10-09,2005-10-15,2.788,0.06,2.599,2.99,SUL,RIO GRANDE DO SUL,estadual
2005-10-09,2005-10-15,2.556,0.064,2.24,2.73,SUL,SANTA CATARINA,estadual
2005-10-16,2005-10-22,2.445,0.03,2.369,2.499,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-10-16,2005-10-22,2.483,0.075,2.25,2.699,CENTRO OESTE,GOIAS,estadual
2005-10-16,2005-10-22,2.89,0.066,2.75,3.155,CENTRO OESTE,MATO GROSSO,estadual
2005-10-16,2005-10-22,2.708,0.049,2.629,2.809,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-10-16,2005-10-22,2.723,0.055,2.509,2.78,NORDESTE,ALAGOAS,estadual
2005-10-16,2005-10-22,2.497,0.117,2.28,2.835,NORDESTE,BAHIA,estadual
2005-10-16,2005-10-22,2.603,0.063,2.4,2.89,NORDESTE,CEARA,estadual
2005-10-16,2005-10-22,2.537,0.066,2.349,2.79,NORDESTE,MARANHAO,estadual
2005-10-16,2005-10-22,2.362,0.114,2.149,2.69,NORDESTE,PARAIBA,estadual
2005-10-16,2005-10-22,2.345,0.166,2.156,2.78,NORDESTE,PERNAMBUCO,estadual
2005-10-16,2005-10-22,2.55,0.108,2.33,2.75,NORDESTE,PIAUI,estadual
2005-10-16,2005-10-22,2.52,0.058,2.33,2.59,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-10-16,2005-10-22,2.455,0.044,2.35,2.58,NORDESTE,SERGIPE,estadual
2005-10-16,2005-10-22,2.754,0.183,2.69,3.3,NORTE,ACRE,estadual
2005-10-16,2005-10-22,2.472,0.035,2.42,2.59,NORTE,AMAPA,estadual
2005-10-16,2005-10-22,2.714,0.066,2.45,2.9,NORTE,AMAZONAS,estadual
2005-10-16,2005-10-22,2.538,0.1,2.39,2.75,NORTE,PARA,estadual
2005-10-16,2005-10-22,2.661,0.125,2.52,3.05,NORTE,RONDONIA,estadual
2005-10-16,2005-10-22,2.721,0.025,2.68,2.75,NORTE,RORAIMA,estadual
2005-10-16,2005-10-22,2.621,0.041,2.499,2.69,NORTE,TOCANTINS,estadual
2005-10-16,2005-10-22,2.54,0.063,2.25,2.68,SUDESTE,ESPIRITO SANTO,estadual
2005-10-16,2005-10-22,2.388,0.127,2.158,2.69,SUDESTE,MINAS GERAIS,estadual
2005-10-16,2005-10-22,2.473,0.131,2.13,2.96,SUDESTE,RIO DE JANEIRO,estadual
2005-10-16,2005-10-22,2.358,0.094,1.979,2.67,SUDESTE,SAO PAULO,estadual
2005-10-16,2005-10-22,2.388,0.101,2.205,2.69,SUL,PARANA,estadual
2005-10-16,2005-10-22,2.777,0.073,2.416,2.99,SUL,RIO GRANDE DO SUL,estadual
2005-10-16,2005-10-22,2.551,0.068,2.24,2.69,SUL,SANTA CATARINA,estadual
2005-10-23,2005-10-29,2.468,0.03,2.39,2.499,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-10-23,2005-10-29,2.478,0.071,2.32,2.699,CENTRO OESTE,GOIAS,estadual
2005-10-23,2005-10-29,2.878,0.049,2.69,3.07,CENTRO OESTE,MATO GROSSO,estadual
2005-10-23,2005-10-29,2.704,0.054,2.57,2.85,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-10-23,2005-10-29,2.725,0.053,2.509,2.78,NORDESTE,ALAGOAS,estadual
2005-10-23,2005-10-29,2.491,0.122,2.28,2.835,NORDESTE,BAHIA,estadual
2005-10-23,2005-10-29,2.599,0.065,2.38,2.89,NORDESTE,CEARA,estadual
2005-10-23,2005-10-29,2.536,0.068,2.4,2.79,NORDESTE,MARANHAO,estadual
2005-10-23,2005-10-29,2.457,0.119,2.149,2.639,NORDESTE,PARAIBA,estadual
2005-10-23,2005-10-29,2.404,0.182,2.14,2.77,NORDESTE,PERNAMBUCO,estadual
2005-10-23,2005-10-29,2.547,0.09,2.43,2.75,NORDESTE,PIAUI,estadual
2005-10-23,2005-10-29,2.5,0.073,2.29,2.589,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-10-23,2005-10-29,2.455,0.05,2.35,2.61,NORDESTE,SERGIPE,estadual
2005-10-23,2005-10-29,2.806,0.13,2.74,3.12,NORTE,ACRE,estadual
2005-10-23,2005-10-29,2.472,0.035,2.42,2.59,NORTE,AMAPA,estadual
2005-10-23,2005-10-29,2.762,0.091,2.45,3.05,NORTE,AMAZONAS,estadual
2005-10-23,2005-10-29,2.554,0.092,2.36,2.78,NORTE,PARA,estadual
2005-10-23,2005-10-29,2.681,0.123,2.55,2.99,NORTE,RONDONIA,estadual
2005-10-23,2005-10-29,2.847,0.047,2.68,2.91,NORTE,RORAIMA,estadual
2005-10-23,2005-10-29,2.626,0.053,2.499,2.766,NORTE,TOCANTINS,estadual
2005-10-23,2005-10-29,2.543,0.048,2.33,2.745,SUDESTE,ESPIRITO SANTO,estadual
2005-10-23,2005-10-29,2.382,0.126,2.158,2.69,SUDESTE,MINAS GERAIS,estadual
2005-10-23,2005-10-29,2.478,0.123,2.15,2.954,SUDESTE,RIO DE JANEIRO,estadual
2005-10-23,2005-10-29,2.362,0.094,2.059,2.67,SUDESTE,SAO PAULO,estadual
2005-10-23,2005-10-29,2.402,0.105,2.19,2.899,SUL,PARANA,estadual
2005-10-23,2005-10-29,2.784,0.063,2.669,2.99,SUL,RIO GRANDE DO SUL,estadual
2005-10-23,2005-10-29,2.547,0.065,2.35,2.76,SUL,SANTA CATARINA,estadual
2005-10-30,2005-11-05,2.43,0.074,2.219,2.499,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-10-30,2005-11-05,2.49,0.067,2.27,2.699,CENTRO OESTE,GOIAS,estadual
2005-10-30,2005-11-05,2.882,0.049,2.69,3.12,CENTRO OESTE,MATO GROSSO,estadual
2005-10-30,2005-11-05,2.697,0.059,2.57,2.936,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-10-30,2005-11-05,2.725,0.052,2.509,2.78,NORDESTE,ALAGOAS,estadual
2005-10-30,2005-11-05,2.498,0.127,2.28,2.895,NORDESTE,BAHIA,estadual
2005-10-30,2005-11-05,2.588,0.068,2.38,2.89,NORDESTE,CEARA,estadual
2005-10-30,2005-11-05,2.541,0.076,2.4,2.79,NORDESTE,MARANHAO,estadual
2005-10-30,2005-11-05,2.511,0.086,2.18,2.639,NORDESTE,PARAIBA,estadual
2005-10-30,2005-11-05,2.515,0.11,2.25,2.79,NORDESTE,PERNAMBUCO,estadual
2005-10-30,2005-11-05,2.497,0.114,2.37,2.75,NORDESTE,PIAUI,estadual
2005-10-30,2005-11-05,2.523,0.047,2.3,2.59,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-10-30,2005-11-05,2.455,0.048,2.35,2.58,NORDESTE,SERGIPE,estadual
2005-10-30,2005-11-05,2.811,0.171,2.73,3.3,NORTE,ACRE,estadual
2005-10-30,2005-11-05,2.483,0.039,2.42,2.6,NORTE,AMAPA,estadual
2005-10-30,2005-11-05,2.766,0.077,2.45,3.05,NORTE,AMAZONAS,estadual
2005-10-30,2005-11-05,2.593,0.128,2.36,2.92,NORTE,PARA,estadual
2005-10-30,2005-11-05,2.7,0.103,2.55,3.0,NORTE,RONDONIA,estadual
2005-10-30,2005-11-05,2.87,0.028,2.8,2.89,NORTE,RORAIMA,estadual
2005-10-30,2005-11-05,2.607,0.062,2.399,2.76,NORTE,TOCANTINS,estadual
2005-10-30,2005-11-05,2.537,0.045,2.33,2.73,SUDESTE,ESPIRITO SANTO,estadual
2005-10-30,2005-11-05,2.385,0.127,2.155,2.69,SUDESTE,MINAS GERAIS,estadual
2005-10-30,2005-11-05,2.481,0.123,2.15,2.94,SUDESTE,RIO DE JANEIRO,estadual
2005-10-30,2005-11-05,2.353,0.097,2.05,2.67,SUDESTE,SAO PAULO,estadual
2005-10-30,2005-11-05,2.47,0.051,2.24,2.631,SUL,PARANA,estadual
2005-10-30,2005-11-05,2.736,0.084,2.59,2.99,SUL,RIO GRANDE DO SUL,estadual
2005-10-30,2005-11-05,2.549,0.063,2.36,2.7,SUL,SANTA CATARINA,estadual
2005-11-06,2005-11-12,2.498,0.09,2.219,2.59,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-11-06,2005-11-12,2.489,0.059,2.27,2.65,CENTRO OESTE,GOIAS,estadual
2005-11-06,2005-11-12,2.875,0.059,2.67,3.12,CENTRO OESTE,MATO GROSSO,estadual
2005-11-06,2005-11-12,2.707,0.052,2.57,2.936,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-11-06,2005-11-12,2.726,0.051,2.509,2.78,NORDESTE,ALAGOAS,estadual
2005-11-06,2005-11-12,2.495,0.127,2.28,2.895,NORDESTE,BAHIA,estadual
2005-11-06,2005-11-12,2.58,0.073,2.38,2.89,NORDESTE,CEARA,estadual
2005-11-06,2005-11-12,2.548,0.074,2.35,2.82,NORDESTE,MARANHAO,estadual
2005-11-06,2005-11-12,2.496,0.087,2.18,2.69,NORDESTE,PARAIBA,estadual
2005-11-06,2005-11-12,2.546,0.082,2.25,2.76,NORDESTE,PERNAMBUCO,estadual
2005-11-06,2005-11-12,2.437,0.145,2.35,2.75,NORDESTE,PIAUI,estadual
2005-11-06,2005-11-12,2.517,0.043,2.4,2.59,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-11-06,2005-11-12,2.448,0.054,2.345,2.62,NORDESTE,SERGIPE,estadual
2005-11-06,2005-11-12,2.761,0.146,2.73,3.3,NORTE,ACRE,estadual
2005-11-06,2005-11-12,2.498,0.051,2.44,2.7,NORTE,AMAPA,estadual
2005-11-06,2005-11-12,2.763,0.081,2.45,3.05,NORTE,AMAZONAS,estadual
2005-11-06,2005-11-12,2.635,0.168,2.36,3.1,NORTE,PARA,estadual
2005-11-06,2005-11-12,2.737,0.12,2.5,3.05,NORTE,RONDONIA,estadual
2005-11-06,2005-11-12,2.868,0.05,2.59,2.9,NORTE,RORAIMA,estadual
2005-11-06,2005-11-12,2.651,0.053,2.49,2.76,NORTE,TOCANTINS,estadual
2005-11-06,2005-11-12,2.531,0.048,2.33,2.695,SUDESTE,ESPIRITO SANTO,estadual
2005-11-06,2005-11-12,2.385,0.125,1.87,2.69,SUDESTE,MINAS GERAIS,estadual
2005-11-06,2005-11-12,2.482,0.123,2.15,2.96,SUDESTE,RIO DE JANEIRO,estadual
2005-11-06,2005-11-12,2.36,0.094,2.08,2.6,SUDESTE,SAO PAULO,estadual
2005-11-06,2005-11-12,2.464,0.052,2.24,2.69,SUL,PARANA,estadual
2005-11-06,2005-11-12,2.733,0.095,2.55,2.992,SUL,RIO GRANDE DO SUL,estadual
2005-11-06,2005-11-12,2.554,0.064,2.19,2.69,SUL,SANTA CATARINA,estadual
2005-11-13,2005-11-19,2.532,0.036,2.39,2.59,CENTRO OESTE,DISTRITO FEDERAL,estadual
2005-11-13,2005-11-19,2.514,0.061,2.27,2.699,CENTRO OESTE,GOIAS,estadual
2005-11-13,2005-11-19,2.889,0.069,2.69,3.12,CENTRO OESTE,MATO GROSSO,estadual
2005-11-13,2005-11-19,2.703,0.053,2.55,2.879,CENTRO OESTE,MATO GROSSO DO SUL,estadual
2005-11-13,2005-11-19,2.724,0.055,2.509,2.78,NORDESTE,ALAGOAS,estadual
2005-11-13,2005-11-19,2.493,0.128,2.28,2.835,NORDESTE,BAHIA,estadual
2005-11-13,2005-11-19,2.568,0.078,2.36,2.89,NORDESTE,CEARA,estadual
2005-11-13,2005-11-19,2.541,0.078,2.35,2.8,NORDESTE,MARANHAO,estadual
2005-11-13,2005-11-19,2.496,0.08,2.18,2.63,NORDESTE,PARAIBA,estadual
2005-11-13,2005-11-19,2.56,0.068,2.35,2.77,NORDESTE,PERNAMBUCO,estadual
2005-11-13,2005-11-19,2.445,0.135,2.33,2.74,NORDESTE,PIAUI,estadual
2005-11-13,2005-11-19,2.516,0.042,2.4,2.589,NORDESTE,RIO GRANDE DO NORTE,estadual
2005-11-13,2005-11-19,2.45,0.051,2.35,2.62,NORDESTE,SERGIPE,estadual
