razao,endereco,Description,geometry,longitude,latitude,data,venda,quantile
POSTO ODEON LTDA,"AVENIDA DO CONTORNO, 1550","endereco: AVENIDA DO CONTORNO, 1550<br>bairro: Floresta<br>cidade: Belo Horizonte<br>endereço: Av. Barão Homem de Melo, 400 - Nova Granada, Belo Horizonte - MG, 30421-340, Brazil<br>longitude: -43.97284<br>latitude: -19.9376413",POINT Z (-43.97284 -19.9376413 0),-19.9376413,-43.97284,2020-03-02,4.548,"(4.498, 4.639]"
POSTO OKLAHOMA LTDA,"RUA TIRADENTES, 1904","endereco: RUA TIRADENTES, 1904<br>bairro: Industrial Sta Rita<br>cidade: Contagem<br>endereço: Av. Tito Fulgêncio, 1045 - Jardim Industrial, Contagem - MG, 32215-000, Brazil<br>longitude: -44.0148112<br>latitude: -19.9658792",POINT Z (-44.0148112 -19.9658792 0),-19.9658792,-44.0148112,2020-11-03,4.6789999999999985,"(4.639, 4.778]"
POSTO OLEGARIO MACIEL LTDA,"AVENIDA CORONEL BENJAMIM GUIMARAES, 2288","endereco: AVENIDA CORONEL BENJAMIM GUIMARAES, 2288<br>bairro: Distrito Industrial<br>cidade: Contagem<br>endereço: Av. Coronel Benjamim Guimarães, 2288 - Industrial, Contagem - MG, 32235-000, Brazil<br>longitude: -44.0269247<br>latitude: -19.9661522",POINT Z (-44.0269247 -19.9661522 0),-19.9661522,-44.0269247,2020-11-03,4.689,"(4.639, 4.778]"
POSTO OLIMAR COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA TEREZA CRISTINA, 2350","endereco: AVENIDA TEREZA CRISTINA, 2350<br>bairro: Padre Eustaquio<br>cidade: Belo Horizonte<br>endereço: Av. Tereza Cristina, 2350 - Padre Eustáquio, Belo Horizonte - MG, 30720-030, Brazil<br>longitude: -43.974395<br>latitude: -19.922624",POINT Z (-43.974395 -19.922624 0),-19.922624,-43.974395,2020-03-18,4.597,"(4.498, 4.639]"
POSTO OURO FINO LIMITADA,"RUA PIUM I, 260","endereco: RUA PIUM I, 260<br>bairro: Cruzeiro<br>cidade: Belo Horizonte<br>endereço: Av. Uruguai, 835 - Sion, Belo Horizonte - MG, 30310-300, Brazil<br>longitude: -43.9309777<br>latitude: -19.9533966",POINT Z (-43.9309777 -19.9533966 0),-19.9533966,-43.9309777,2019-12-30,4.869,"(4.778, 4.918]"
POSTO PARADA OBRIGATORIA LTDA,"AVENIDA DOS ANDRADAS, 3910","endereco: AVENIDA DOS ANDRADAS, 3910<br>bairro: Pompéia<br>cidade: Belo Horizonte<br>endereço: Av. dos Andradas, 3910 - Centro, Belo Horizonte - MG, 30120-010, Brazil<br>longitude: -43.9080336<br>latitude: -19.9124091",POINT Z (-43.9080336 -19.9124091 0),-19.9124091,-43.9080336,2020-03-18,4.697,"(4.639, 4.778]"
POSTO PAULISTA LTDA,"RODOVIA BR 381, 3300 KM 0600","endereco: RODOVIA BR 381, 3300 KM 0600<br>bairro: Inconfidentes<br>cidade: Contagem<br>endereço: BR-381, 3300 - Inconfidentes, Contagem - MG, 32260-530, Brazil<br>longitude: -44.0437092<br>latitude: -19.9640055",POINT Z (-44.0437092 -19.9640055 0),-19.9640055,-44.0437092,2020-11-03,4.6960000000000015,"(4.639, 4.778]"
POSTO PAULISTINHA LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 1612","endereco: AVENIDA NOSSA SENHORA DE FATIMA, 1612<br>bairro: Carlos Prates<br>cidade: Belo Horizonte<br>endereço: Av. Nossa Sra. de Fátima, 1612 - Lagoinha, Belo Horizonte - MG, 30710-030, Brazil<br>longitude: -43.945616<br>latitude: -19.9134333",POINT Z (-43.945616 -19.9134333 0),-19.9134333,-43.945616,2020-03-19,4.655,"(4.639, 4.778]"
POSTO PETROLINA EIRELI,"RODOVIA BR-381, S/N KM 0900","endereco: RODOVIA BR-381, S/N KM 0900<br>bairro: Inconfidentes<br>cidade: Contagem<br>endereço: Rod. Fernão Dias - Inconfidentes, Contagem - MG, Brazil<br>longitude: -44.0396524<br>latitude: -19.9622985",POINT Z (-44.0396524 -19.9622985 0),-19.9622985,-44.0396524,2020-08-01,4.627,"(4.498, 4.639]"
POSTO PICA PAU LTDA,"AVENIDA HELENA VASCONCELO COSTA, 4447","endereco: AVENIDA HELENA VASCONCELO COSTA, 4447<br>bairro: Bitaculas Perobas<br>cidade: Contagem<br>endereço: Av. Helena de Vasconcelos Costa, 4447 - Cincao, Contagem - MG, 32141, Brazil<br>longitude: -44.0489259<br>latitude: -19.9072562",POINT Z (-44.0489259 -19.9072562 0),-19.9072562,-44.0489259,2020-05-03,4.695,"(4.639, 4.778]"
POSTO PIO XII LTDA.,"AVENIDA DO CONTORNO, 9008","endereco: AVENIDA DO CONTORNO, 9008<br>bairro: Santo Agostinho<br>cidade: Belo Horizonte<br>endereço: Av. Dom Pedro II, 930 - Carlos Prates, Belo Horizonte - MG, 30710-010, Brazil<br>longitude: -43.9525061<br>latitude: -19.9138918",POINT Z (-43.9525061 -19.9138918 0),-19.9138918,-43.9525061,2020-02-19,4.61,"(4.498, 4.639]"
POSTO POETA LTDA,"AVENIDA DOM PEDRO I, 2355","endereco: AVENIDA DOM PEDRO I, 2355<br>bairro: Sao Joao Batista<br>cidade: Belo Horizonte<br>endereço: Av. Pres. Antônio Carlos, 7585 - Lagoinha, Belo Horizonte - MG, 31210-800, Brazil<br>longitude: -43.9607975<br>latitude: -19.856574",POINT Z (-43.9607975 -19.856574 0),-19.856574,-43.9607975,2020-11-02,4.577,"(4.498, 4.639]"
POSTO POLE POSITION LTDA,"AVENIDA PRESIDENTE ANTONIO CARLOS, 7400","endereco: AVENIDA PRESIDENTE ANTONIO CARLOS, 7400<br>bairro: Aeroporto<br>cidade: Belo Horizonte<br>endereço: Av. Sebastião de Brito, 1037 - Dona Clara, Belo Horizonte - MG, 31260-000, Brazil<br>longitude: -43.9385188<br>latitude: -19.8610365",POINT Z (-43.9385188 -19.8610365 0),-19.8610365,-43.9385188,2020-02-27,4.575,"(4.498, 4.639]"
POSTO PONTE NOVA LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 450","endereco: AVENIDA NOSSA SENHORA DO CARMO, 450<br>bairro: Carmo<br>cidade: Belo Horizonte<br>endereço: Rua Pium-Í, 260 - Cruzeiro, Belo Horizonte - MG, 30310-080, Brazil<br>longitude: -43.9298418<br>latitude: -19.9417495",POINT Z (-43.9298418 -19.9417495 0),-19.9417495,-43.9298418,2020-03-02,4.8580000000000005,"(4.778, 4.918]"
POSTO PONTEIO LTDA.,"RODOVIA BR 356, 20 KM 04","endereco: RODOVIA BR 356, 20 KM 04<br>bairro: Santa Lucia<br>cidade: Belo Horizonte<br>endereço: Av. Bernardo Monteiro, 1339 - Funcionários, Belo Horizonte - MG, 30120-010, Brazil<br>longitude: -43.929113<br>latitude: -19.9303588",POINT Z (-43.929113 -19.9303588 0),-19.9303588,-43.929113,2020-03-02,4.997,"(4.918, 5.058]"
POSTO PRISMA LTDA,"AVENIDA VER. CICERO ILDEFONSO, 684","endereco: AVENIDA VER. CICERO ILDEFONSO, 684<br>bairro: Joao Pinheiro<br>cidade: Belo Horizonte<br>endereço: Av. Vereador Cicero Idelfonso, 684 - João Pinheiro, Belo Horizonte - MG, 30530-000, Brazil<br>longitude: -43.998888<br>latitude: -19.925342",POINT Z (-43.998888 -19.925342 0),-19.925342,-43.998888,2020-03-18,4.598,"(4.498, 4.639]"
POSTO PROGRESSO LTDA,"RUA PARA DE MINAS, 1080 0","endereco: RUA PARA DE MINAS, 1080 0<br>bairro: Padre Eustáquio<br>cidade: Belo Horizonte<br>endereço: Av. Dom Pedro I, 2177 - Vila São João Batista, Belo Horizonte - MG, 31744-002, Brazil<br>longitude: -43.9598072<br>latitude: -19.8273317",POINT Z (-43.9598072 -19.8273317 0),-19.8273317,-43.9598072,2020-05-03,4.59,"(4.498, 4.639]"
POSTO QUATRO RODAS LTDA,"AVENIDA TITO FULGENCIO, 950","endereco: AVENIDA TITO FULGENCIO, 950<br>bairro: Jardim Industrial<br>cidade: Contagem<br>endereço: Av. Tito Fulgêncio, 950 - Jardim Industrial, Contagem - MG, 32215, Brazil<br>longitude: -44.0157677<br>latitude: -19.9650431",POINT Z (-44.0157677 -19.9650431 0),-19.9650431,-44.0157677,2020-11-03,4.657,"(4.639, 4.778]"
POSTO QUICK LTDA,"AVENIDA CORONEL JOSE BENJAMIM, 17","endereco: AVENIDA CORONEL JOSE BENJAMIM, 17<br>bairro: Padre Eustaquio<br>cidade: Belo Horizonte<br>endereço: Rua Coronel José Benjamim, 17 - Padre Eustáquio, Belo Horizonte - MG, 30720-430, Brazil<br>longitude: -43.969415<br>latitude: -19.9195664",POINT Z (-43.969415 -19.9195664 0),-19.9195664,-43.969415,2020-03-18,4.599,"(4.498, 4.639]"
POSTO R.E.M. LTDA,"AVENIDA AMAZONAS, 4594","endereco: AVENIDA AMAZONAS, 4594<br>bairro: Nova Suissa<br>cidade: Belo Horizonte<br>endereço: Av. Amazonas, 4594 - Nova Suíça, Belo Horizonte - MG, 30180-001, Brazil<br>longitude: -43.9750569<br>latitude: -19.9292042",POINT Z (-43.9750569 -19.9292042 0),-19.9292042,-43.9750569,2020-03-18,4.949,"(4.918, 5.058]"
POSTO R.E.M. LTDA,"AVENIDA AMAZONAS, 4594","endereco: AVENIDA AMAZONAS, 4594<br>bairro: Nova Suiça<br>cidade: Belo Horizonte<br>endereço: Av. do Contorno, 9645 - Santa Efigênia, Belo Horizonte - MG, 30110-017, Brazil<br>longitude: -43.9582244<br>latitude: -19.9242204",POINT Z (-43.9582244 -19.9242204 0),-19.9242204,-43.9582244,2020-03-18,4.949,"(4.918, 5.058]"
POSTO R.E.M. LTDA,"AVENIDA DO CONTORNO, 10040","endereco: AVENIDA DO CONTORNO, 10040<br>bairro: Barro Preto<br>cidade: Belo Horizonte<br>endereço: Av. do Contorno, 10040 - Santa Efigênia, Belo Horizonte - MG, 30110-017, Brazil<br>longitude: -43.9558408<br>latitude: -19.9186768",POINT Z (-43.9558408 -19.9186768 0),-19.9186768,-43.9558408,2020-05-03,4.949,"(4.918, 5.058]"
POSTO RC LTDA,"AVENIDA SANTA TEREZINHA, 620","endereco: AVENIDA SANTA TEREZINHA, 620<br>bairro: Itatiaia<br>cidade: Belo Horizonte<br>endereço: R. Jacuí, 1712 - Floresta, Belo Horizonte - MG, 31110-050, Brazil<br>longitude: -43.93415<br>latitude: -19.89801",POINT Z (-43.93415 -19.89801 0),-19.89801,-43.93415,2020-06-01,4.599,"(4.498, 4.639]"
POSTO SAGRADA FAMILIA EIRELI,"RUA CONSELHEIRO LAFAIETE, 1380","endereco: RUA CONSELHEIRO LAFAIETE, 1380<br>bairro: Sagrada Familia<br>cidade: Belo Horizonte<br>endereço: Av. Santa Terezinha, 620 - Santa Terezinha, Belo Horizonte - MG, 31365-130, Brazil<br>longitude: -44.0013118<br>latitude: -19.870169",POINT Z (-44.0013118 -19.870169 0),-19.870169,-44.0013118,2020-07-01,4.597,"(4.498, 4.639]"
POSTO SALAZAR LTDA,"RUA MINISTROOLIVEIRA SALAZAR, 770","endereco: RUA MINISTROOLIVEIRA SALAZAR, 770<br>bairro: Santa Monica<br>cidade: Belo Horizonte<br>endereço: R. Min. Oliveira Salazar, 770 - Santa Monica, Belo Horizonte - MG, 31525-000, Brazil<br>longitude: -43.9727656<br>latitude: -19.8211417",POINT Z (-43.9727656 -19.8211417 0),-19.8211417,-43.9727656,2020-11-02,4.619,"(4.498, 4.639]"
POSTO SANTA INES MINAS LTDA,"AVENIDA CONTAGEM, 1980","endereco: AVENIDA CONTAGEM, 1980<br>bairro: Ana Lucia<br>cidade: Sabará<br>endereço: Rua Contagem, 1980 - Santa Ines, Sabará - MG, 31080-365, Brazil<br>longitude: -43.908204<br>latitude: -19.8788589",POINT Z (-43.908204 -19.8788589 0),-19.8788589,-43.908204,2020-09-03,4.699,"(4.639, 4.778]"
POSTO SANTA LUCIA LTDA,"RODOVIA BR-356, 520","endereco: RODOVIA BR-356, 520<br>bairro: Sion<br>cidade: Belo Horizonte<br>endereço: Av. Nossa Sra. do Carmo, 1925 - Carmo Sion, Belo Horizonte - MG, 30310-000, Brazil<br>longitude: -43.9401149<br>latitude: -19.9555199",POINT Z (-43.9401149 -19.9555199 0),-19.9555199,-43.9401149,2020-03-02,4.857,"(4.778, 4.918]"
POSTO SANTO ONOFRE LTDA,"RUA ERICO VERISSIMO, 1645","endereco: RUA ERICO VERISSIMO, 1645<br>bairro: Santa Monica<br>cidade: Belo Horizonte<br>endereço: R. Érico Veríssimo, 1645 - Santa Monica, Belo Horizonte - MG, 31520-395, Brazil<br>longitude: -43.976673<br>latitude: -19.817168",POINT Z (-43.976673 -19.817168 0),-19.817168,-43.976673,2020-10-03,4.649,"(4.639, 4.778]"
POSTO SAO BERNARDO LTDA,"AVENIDA CRISTIANO MACHADO, 9505","endereco: AVENIDA CRISTIANO MACHADO, 9505<br>bairro: Dona Clara<br>cidade: Belo Horizonte<br>endereço: Av. Cristiano Machado, 9505 - Dona Clara, Belo Horizonte - MG, 31741-401, Brazil<br>longitude: -43.9330416<br>latitude: -19.8476655",POINT Z (-43.9330416 -19.8476655 0),-19.8476655,-43.9330416,2020-11-02,4.699,"(4.639, 4.778]"
POSTO SAO JOAO COMB E LUBR LTDA,"RUA DESEMBARGADOR BARCELOS, 196","endereco: RUA DESEMBARGADOR BARCELOS, 196<br>bairro: Calafate<br>cidade: Belo Horizonte<br>endereço: Beco MG-5 - Goiânia, Belo Horizonte - MG, 31930-010, Brazil<br>longitude: -43.9033526<br>latitude: -19.8755987",POINT Z (-43.9033526 -19.8755987 0),-19.8755987,-43.9033526,2020-03-02,4.655,"(4.639, 4.778]"
POSTO SAO PAULO ATLANTIDA LTDA,"AVENIDA HERACLITO MOURAO DE MIRANDA, 1851 0","endereco: AVENIDA HERACLITO MOURAO DE MIRANDA, 1851 0<br>bairro: Serrano<br>cidade: Belo Horizonte<br>endereço: Rua Sena Madureira, 390 - Ouro Preto, Belo Horizonte - MG, 31340-000, Brazil<br>longitude: -43.9872838<br>latitude: -19.8738524",POINT Z (-43.9872838 -19.8738524 0),-19.8738524,-43.9872838,2020-06-01,4.959,"(4.918, 5.058]"
POSTO SAO SEBASTIAO LTDA - ME,"AVENIDA SILVIANO BRANDAO, 662","endereco: AVENIDA SILVIANO BRANDAO, 662<br>bairro: Floresta<br>cidade: Belo Horizonte<br>endereço: Av. Professor Magalhães Penido, 540 - São Luiz, Belo Horizonte - MG, 31270-700, Brazil<br>longitude: -43.9596252<br>latitude: -19.8567429",POINT Z (-43.9596252 -19.8567429 0),-19.8567429,-43.9596252,2020-07-01,4.669,"(4.639, 4.778]"
POSTO SARAMENHA LTDA,"AVENIDA SERRANA, 750","endereco: AVENIDA SERRANA, 750<br>bairro: Serrano<br>cidade: Belo Horizonte<br>endereço: <br>longitude: -44.0139935<br>latitude: -19.8788179",POINT Z (-44.0139935 -19.8788179 0),-19.8788179,-44.0139935,2020-05-03,4.599,"(4.498, 4.639]"
POSTO SERRANO LTDA,"AVENIDA ABILIO MACHADO, 3123","endereco: AVENIDA ABILIO MACHADO, 3123<br>bairro: Serrano<br>cidade: Belo Horizonte<br>endereço: Av. Abílio Machado, 3123 - Dom Bosco, Belo Horizonte - MG, 30830-093, Brazil<br>longitude: -44.0089204<br>latitude: -19.8942252",POINT Z (-44.0089204 -19.8942252 0),-19.8942252,-44.0089204,2020-06-01,4.695,"(4.639, 4.778]"
POSTO SILVA LOBO LTDA.,"AVENIDA AMAZONAS, 5353 A","endereco: AVENIDA AMAZONAS, 5353 A<br>bairro: Nova Suiça<br>cidade: Belo Horizonte<br>endereço: Av. Amazonas, 5353 - Nova Suíça, Belo Horizonte - MG, 30431-025, Brazil<br>longitude: -43.9796719<br>latitude: -19.9302812",POINT Z (-43.9796719 -19.9302812 0),-19.9302812,-43.9796719,2020-03-18,4.6389999999999985,"(4.639, 4.778]"
POSTO SUPREMO LTDA,"AVENIDA PRINCESA IZABEL, 320","endereco: AVENIDA PRINCESA IZABEL, 320<br>bairro: Parque Recreio<br>cidade: Contagem<br>endereço: Av. Princesa Isabel, 320 - Parque Recreio, Contagem - MG, 32110-380, Brazil<br>longitude: -44.0209915<br>latitude: -19.8822554",POINT Z (-44.0209915 -19.8822554 0),-19.8822554,-44.0209915,2020-06-02,4.658,"(4.639, 4.778]"
POSTO TATIANA LTDA,"AVENIDA PEDRO I, 468","endereco: AVENIDA PEDRO I, 468<br>bairro: Jardim Atlantico<br>cidade: Belo Horizonte<br>endereço: Av. Dom Pedro I, 468 - Santa Branca, Belo Horizonte - MG, 31744-002, Brazil<br>longitude: -43.96681<br>latitude: -19.84028",POINT Z (-43.96681 -19.84028 0),-19.84028,-43.96681,2020-11-02,4.649,"(4.639, 4.778]"
POSTO TELEFÉRICO LTDA.,"AVENIDA TELEFERICO, 825","endereco: AVENIDA TELEFERICO, 825<br>bairro: Conjunto Habitacional Vereador Jose Custodio<br>cidade: Contagem<br>endereço: Av. Teleférico, 825 - Conj. Agua Branca, Contagem - MG, 32310-390, Brazil<br>longitude: -44.0276884<br>latitude: -19.9362268",POINT Z (-44.0276884 -19.9362268 0),-19.9362268,-44.0276884,2020-05-03,4.695,"(4.639, 4.778]"
POSTO TEREZA CRISTINA LTDA,"RUA HUM, 34","endereco: RUA HUM, 34<br>bairro: Jardim Emaus<br>cidade: Contagem<br>endereço: R. Um, 34 - Jardim Riacho das Pedras, Contagem - MG, 32250-000, Brazil<br>longitude: -44.0663967<br>latitude: -19.9649069",POINT Z (-44.0663967 -19.9649069 0),-19.9649069,-44.0663967,2020-11-03,4.657,"(4.639, 4.778]"
POSTO TIGRE LTDA,"AVENIDA BRASIL, 401","endereco: AVENIDA BRASIL, 401<br>bairro: Funcionários<br>cidade: Belo Horizonte<br>endereço: BR-262, Brazil<br>longitude: -43.9542559<br>latitude: -19.8806279",POINT Z (-43.9542559 -19.8806279 0),-19.8806279,-43.9542559,2020-03-02,4.695,"(4.639, 4.778]"
POSTO TOCANTINS LTDA,"AVENIDA DO CONTORNO, 1955","endereco: AVENIDA DO CONTORNO, 1955<br>bairro: Floresta<br>cidade: Belo Horizonte<br>endereço: Av. Afonso Pena, 4321 - Mangabeiras, Belo Horizonte - MG, 30130-009, Brazil<br>longitude: -43.9203492<br>latitude: -19.9474319",POINT Z (-43.9203492 -19.9474319 0),-19.9474319,-43.9203492,2020-03-02,4.899,"(4.778, 4.918]"
POSTO TROPICO LTDA,"AVENIDA ANTONIO CARLOS, 6640","endereco: AVENIDA ANTONIO CARLOS, 6640<br>bairro: Pampulha<br>cidade: Belo Horizonte<br>endereço: Rua Izabel Bueno, 139 - Jaraguá, Belo Horizonte - MG, 31270-030, Brazil<br>longitude: -43.9507193<br>latitude: -19.8679462",POINT Z (-43.9507193 -19.8679462 0),-19.8679462,-43.9507193,2020-02-27,4.575,"(4.498, 4.639]"
POSTO TROVAO LTDA,"AVENIDA TITO FULGENCIO, 1189","endereco: AVENIDA TITO FULGENCIO, 1189<br>bairro: Jardim Industrial<br>cidade: Contagem<br>endereço: Av. Tito Fulgêncio, 1189 - Jardim Industrial, Contagem - MG, 32180-000, Brazil<br>longitude: -44.01437<br>latitude: -19.967091",POINT Z (-44.01437 -19.967091 0),-19.967091,-44.01437,2020-11-03,4.657,"(4.639, 4.778]"
POSTO TUNEL LTDA,"AVENIDA CRISTIANO MACHADO, 71","endereco: AVENIDA CRISTIANO MACHADO, 71<br>bairro: Floresta<br>cidade: Belo Horizonte<br>endereço: Av. Cristiano Machado, 71 - Colégio Batista, Belo Horizonte - MG, 31110-235, Brazil<br>longitude: -43.9369912<br>latitude: -19.9051393",POINT Z (-43.9369912 -19.9051393 0),-19.9051393,-43.9369912,2020-11-02,4.675,"(4.639, 4.778]"
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1","endereco: RODOVIA BR 381, S/N KM 424,1<br>bairro: Jardim Piemonte<br>cidade: Betim<br>endereço: Rod Br 381 Fernao Dias - Sn, Km 482 - Dom I. Jardim Piemonte / Sul, Betim - MG, 32689-898, Brazil<br>longitude: -44.0718238<br>latitude: -19.9602094",POINT Z (-44.0718238 -19.9602094 0),-19.9602094,-44.0718238,2020-10-02,4.697,"(4.639, 4.778]"
POSTO UNIAO LTDA,"AVENIDA DOM PEDRO I, 3880","endereco: AVENIDA DOM PEDRO I, 3880<br>bairro: Vnda Nova<br>cidade: Belo Horizonte<br>endereço: Av. Dom Pedro I, 3880 - Planalto, Belo Horizonte - MG, 30720-460, Brazil<br>longitude: -43.9520183<br>latitude: -19.8210844",POINT Z (-43.9520183 -19.8210844 0),-19.8210844,-43.9520183,2020-11-02,4.677,"(4.639, 4.778]"
POSTO VANORTE LTDA,"RUA DOUTOR ALVARO CAMARGOS, 1795","endereco: RUA DOUTOR ALVARO CAMARGOS, 1795<br>bairro: Santa Branca<br>cidade: Belo Horizonte<br>endereço: Rua Dr. Álvaro Camargos, 1795 - Santa Branca, Belo Horizonte - MG, 31515-252, Brazil<br>longitude: -43.9635332<br>latitude: -19.8288041",POINT Z (-43.9635332 -19.8288041 0),-19.8288041,-43.9635332,2020-11-02,4.699,"(4.639, 4.778]"
POSTO VIA DO MINERIO LTDA,"AVENIDA WALDYR SOEIRO EMRICH, 3441","endereco: AVENIDA WALDYR SOEIRO EMRICH, 3441<br>bairro: Santa Helena (barreiro)<br>cidade: Belo Horizonte<br>endereço: Rua Izabel Bueno, 139 - Jaraguá, Belo Horizonte - MG, 31270-030, Brazil<br>longitude: -43.9507193<br>latitude: -19.8679462",POINT Z (-43.9507193 -19.8679462 0),-19.8679462,-43.9507193,2020-06-01,4.647,"(4.639, 4.778]"
POSTO VICA LTDA,"AVENIDA RAJA GABAGLIA, 5001","endereco: AVENIDA RAJA GABAGLIA, 5001<br>bairro: Santa Lucia<br>cidade: Belo Horizonte<br>endereço: R. Rio Grande do Norte, 1204 - Funcionários, Belo Horizonte - MG, 30130-131, Brazil<br>longitude: -43.93242<br>latitude: -19.93616",POINT Z (-43.93242 -19.93616 0),-19.93616,-43.93242,2020-03-02,4.857,"(4.778, 4.918]"
POSTO VIDAGO LTDA,"RUA TIRADENTES, 1530","endereco: RUA TIRADENTES, 1530<br>bairro: Industrial<br>cidade: Contagem<br>endereço: R. Tiradentes, 1530 - Industrial, Contagem - MG, 32235-250, Brazil<br>longitude: -44.0419681<br>latitude: -19.9745178",POINT Z (-44.0419681 -19.9745178 0),-19.9745178,-44.0419681,2020-11-03,4.659,"(4.639, 4.778]"
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100","endereco: AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100<br>bairro: Centro<br>cidade: Betim<br>endereço: Av. Edmeia Matos Lazzarotti, 1100 - Centro, Betim - MG, 32600-004, Brazil<br>longitude: -44.2036168<br>latitude: -19.9663411",POINT Z (-44.2036168 -19.9663411 0),-19.9663411,-44.2036168,2020-10-02,4.677,"(4.639, 4.778]"
POSTO VILA ESTACAO LTDA,"RUA DOS TUPINAMBAS, 115","endereco: RUA DOS TUPINAMBAS, 115<br>bairro: Centro<br>cidade: Belo Horizonte<br>endereço: R. Conceição do Mato Dentro, 335 - Ouro Preto, Belo Horizonte - MG, 31310-240, Brazil<br>longitude: -43.9795869<br>latitude: -19.8717594",POINT Z (-43.9795869 -19.8717594 0),-19.8717594,-43.9795869,2020-01-20,4.626,"(4.498, 4.639]"
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;","endereco: RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;<br>bairro: Jardim Teresopolis<br>cidade: Betim<br>endereço: Rodovia Fernão Dias BR 381 s/n - KM 487 - Dentro Do Posto Ipiranga Vila Fernão Dias - Jardim Teresopolis, Betim - MG, 32560-460, Brazil<br>longitude: -44.1160495<br>latitude: -19.9549519",POINT Z (-44.1160495 -19.9549519 0),-19.9549519,-44.1160495,2020-10-02,4.677,"(4.639, 4.778]"
POSTO VILA GAROTO LTDA,"AVENIDA JUSCELINO KUBSTCHEK, 651","endereco: AVENIDA JUSCELINO KUBSTCHEK, 651<br>bairro: Industrial<br>cidade: Contagem<br>endereço: Av. Juscelino Kubitscheck, 651 - Industrial, Contagem - MG, 32230-090, Brazil<br>longitude: -44.0319305<br>latitude: -19.9711962",POINT Z (-44.0319305 -19.9711962 0),-19.9711962,-44.0319305,2020-11-03,4.659,"(4.639, 4.778]"
POSTO VILA LIBERDADE LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1381","endereco: AVENIDA EDMEIA MATTOS LAZZAROTTI, 1381<br>bairro: Angola<br>cidade: Betim<br>endereço: Av. Edmeia Matos Lazzarotti, 1381 - Angola, Betim - MG, 32600-044, Brazil<br>longitude: -44.2004114<br>latitude: -19.9635525",POINT Z (-44.2004114 -19.9635525 0),-19.9635525,-44.2004114,2020-10-02,4.697,"(4.639, 4.778]"
POSTO VILA MARIA DIAS LTDA,"AVENIDA BABITA CAMARGOS, 1330","endereco: AVENIDA BABITA CAMARGOS, 1330<br>bairro: Cidade Industrial<br>cidade: Contagem<br>endereço: Av. Babita Camargos, 1330 - Cidade Industrial, Contagem - MG, 32210-180, Brazil<br>longitude: -44.025584<br>latitude: -19.952137",POINT Z (-44.025584 -19.952137 0),-19.952137,-44.025584,2020-11-03,4.659,"(4.639, 4.778]"
POSTO VILA NOSSA SENHORA DE FATIMA LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 2.401","endereco: AVENIDA NOSSA SENHORA DE FATIMA, 2.401<br>bairro: Carlos Prates<br>cidade: Belo Horizonte<br>endereço: Av. Nossa Sra. de Fátima, 2401 - Carlos Prates, Belo Horizonte - MG, 30710-020, Brazil<br>longitude: -43.9533802<br>latitude: -19.9149748",POINT Z (-43.9533802 -19.9149748 0),-19.9149748,-43.9533802,2020-05-03,4.627,"(4.498, 4.639]"
POSTO VILA PICA PAU LTDA,"VIA EXPRESSA DE CONTAGEM, 6900","endereco: VIA EXPRESSA DE CONTAGEM, 6900<br>bairro: Bernardo Monteiro<br>cidade: Contagem<br>endereço: Via Expressa de Contagem, 6900 - Tropical, Contagem - MG, 32072-390, Brazil<br>longitude: -44.113844<br>latitude: -19.9266973",POINT Z (-44.113844 -19.9266973 0),-19.9266973,-44.113844,2020-05-03,4.72,"(4.639, 4.778]"
POSTO WAP CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 9434","endereco: AVENIDA CRISTIANO MACHADO, 9434<br>bairro: Minaslandia (p Maio)<br>cidade: Belo Horizonte<br>endereço: Av. Cristiano Machado, 9434 - Vila Suzana, Belo Horizonte - MG, 31812-112, Brazil<br>longitude: -43.932656<br>latitude: -19.849248",POINT Z (-43.932656 -19.849248 0),-19.849248,-43.932656,2020-11-02,4.697,"(4.639, 4.778]"
POSTO WAP LTDA,"AVENIDA PEDRO II, 4091","endereco: AVENIDA PEDRO II, 4091<br>bairro: Vila Futuro<br>cidade: Belo Horizonte<br>endereço: Av. Dom Pedro II, 4091 - Jardim Montanhês, Belo Horizonte - MG, 30810-190, Brazil<br>longitude: -43.9794854<br>latitude: -19.9127309",POINT Z (-43.9794854 -19.9127309 0),-19.9127309,-43.9794854,2020-07-01,4.579,"(4.498, 4.639]"
