razao,endereco,Description,geometry,longitude,latitude,data,venda,quantile
POSTO FLORAMAR LTDA,"AVENIDA CRISTIANO MACHADO, 10130","endereco: AVENIDA CRISTIANO MACHADO, 10130<br>bairro: Floramar<br>cidade: Belo Horizonte<br>endereço: Av. Cristiano Machado, 10130 - Floramar, Belo Horizonte - MG, 31765-000, Brazil<br>longitude: -43.9387903<br>latitude: -19.837291",POINT Z (-43.9387903 -19.837291 0),-19.837291,-43.9387903,2020-10-03,4.499,"(4.498, 4.639]"
POSTO FORMULA BR LTDA,"AVENIDA AMAZONAS, 8.555","endereco: AVENIDA AMAZONAS, 8.555<br>bairro: Cabana<br>cidade: Belo Horizonte<br>endereço: Av. Amazonas - Cabana, Belo Horizonte - MG, Brazil<br>longitude: -44.0033897<br>latitude: -19.9425039",POINT Z (-44.0033897 -19.9425039 0),-19.9425039,-44.0033897,2020-03-18,4.643,"(4.639, 4.778]"
POSTO GABI LTDA,"AVENIDA VILARINHO, 2300","endereco: AVENIDA VILARINHO, 2300<br>bairro: Venda Nova<br>cidade: Belo Horizonte<br>endereço: Av. Vilarinho, 2300 - São Pedro Venda Nova, Belo Horizonte - MG, 31615-250, Brazil<br>longitude: -43.9613899<br>latitude: -19.8118494",POINT Z (-43.9613899 -19.8118494 0),-19.8118494,-43.9613899,2020-11-02,4.647,"(4.639, 4.778]"
POSTO GAMELEIRA LTDA,"AVENIDA AMAZONAS, 7605","endereco: AVENIDA AMAZONAS, 7605<br>bairro: Nova Gameleira<br>cidade: Belo Horizonte<br>endereço: Av. Amazonas, 7605 - Gameleira, Belo Horizonte - MG, 30510-000, Brazil<br>longitude: -43.997059<br>latitude: -19.93825",POINT Z (-43.997059 -19.93825 0),-19.93825,-43.997059,2020-03-18,4.644,"(4.639, 4.778]"
POSTO GAS STATION LTDA,"RUA INCONFIDENCIA, 111","endereco: RUA INCONFIDENCIA, 111<br>bairro: Centro<br>cidade: Betim<br>endereço: R. Inconfidência, 111 - Centro, Betim - MG, 32600-100, Brazil<br>longitude: -44.1932353<br>latitude: -19.965911",POINT Z (-44.1932353 -19.965911 0),-19.965911,-44.1932353,2020-09-03,4.699,"(4.639, 4.778]"
POSTO GLORIA,"RUA DEPUTADO CLAUDIO PINHEIRO DE LIMA, 957","endereco: RUA DEPUTADO CLAUDIO PINHEIRO DE LIMA, 957<br>bairro: Nossa Senhora da Gloria<br>cidade: Belo Horizonte<br>endereço: R. Pará de Minas, 320 - Padre Eustáquio, Belo Horizonte - MG, 30730-440, Brazil<br>longitude: -43.9841709<br>latitude: -19.914662",POINT Z (-43.9841709 -19.914662 0),-19.914662,-43.9841709,2020-06-01,4.555,"(4.498, 4.639]"
POSTO GRAJAU LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 756","endereco: AVENIDA NOSSA SENHORA DO CARMO, 756<br>bairro: Sao Pedro<br>cidade: Belo Horizonte<br>endereço: R. das Princesas, 367 - Vila Oeste, Belo Horizonte - MG, 30532-070, Brazil<br>longitude: -44.0072982<br>latitude: -19.9384485",POINT Z (-44.0072982 -19.9384485 0),-19.9384485,-44.0072982,2020-03-02,4.949,"(4.918, 5.058]"
POSTO GUARAPARI LTDA,"AVENIDA GUARAPARI, 1201 LOTE 15 E 16","endereco: AVENIDA GUARAPARI, 1201 LOTE 15 E 16<br>bairro: Santa Amelia<br>cidade: Belo Horizonte<br>endereço: Av. Guarapari, 1201 - LOTE 15 E 16 - Santa Amelia, Belo Horizonte - MG, 31560-300, Brazil<br>longitude: -43.975167<br>latitude: -19.835763",POINT Z (-43.975167 -19.835763 0),-19.835763,-43.975167,2020-10-03,4.699,"(4.639, 4.778]"
POSTO HUGO WERNECK LTDA,"AVENIDA NOSSA SENHORA DO CARMO, 1925","endereco: AVENIDA NOSSA SENHORA DO CARMO, 1925<br>bairro: Carmo Sion<br>cidade: Belo Horizonte<br>endereço: Av. Uruguai, 86 - Sion, Belo Horizonte - MG, 30310-300, Brazil<br>longitude: -43.934695<br>latitude: -19.9485136",POINT Z (-43.934695 -19.9485136 0),-19.9485136,-43.934695,2020-03-02,4.897,"(4.778, 4.918]"
POSTO ITAPOA LTDA,"AVENIDA AMAZONAS, 2994","endereco: AVENIDA AMAZONAS, 2994<br>bairro: Barroca<br>cidade: Belo Horizonte<br>endereço: Av. Amazonas, 2994 - Centro, Belo Horizonte - MG, 30410-000, Brazil<br>longitude: -43.9602463<br>latitude: -19.9296763",POINT Z (-43.9602463 -19.9296763 0),-19.9296763,-43.9602463,2020-03-18,4.655,"(4.639, 4.778]"
